observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200902_001,,,1,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2009-02,2002-04,,3072.0,,3072.0,0.0,,1975.0,2008-02,,2009-09,19.0,,,61,75,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,1
FR_200902_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2009-02,2001-05,,4213.0,,3282.0,-931.0,,2330.0,2009-10,,2009-12,2.0,,,71,75,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,2
FR_200902_003,,,3,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2009-02,2001-12,,13171.0,,13171.0,0.0,,11337.0,2008-12,,2010-05,17.0,,,59,119,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,3
FR_200902_004,,,4,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2009-02,2003-09,,3492.0,,3492.0,0.0,,1536.0,2010-09,,2010-09,0.0,,,12,76,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,4
FR_200902_005,,,5,Uranium Ore Mine & Processing Plant at Tummalapalle,,,ATOMIC ENERGY,2009-02,2007-09,,1106.29,,1106.29,0.0,,135.34,2011-04,,2011-04,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,5
FR_200902_006,,,6,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2009-02,2003-09,,343.26,,343.26,0.0,,328.05,2006-06,,,,,,35,36,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,6
FR_200902_007,,,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING,,,ATOMIC ENERGY,2009-02,2007-02,,290.92,,290.92,0.0,,83.55,2009-02,,2009-02,0.0,,,8,24,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,7
FR_200902_008,,,8,Construction of New Internation Terminal Building,,,ATOMIC ENERGY,2009-02,2006-10,,245.58,,245.58,0.0,,69.1,2008-12,,2009-03,3.0,,,17,28,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,8
FR_200902_009,,,9,C/o New expandable Modular Integrated Bldg.Raipur Airport,,,ATOMIC ENERGY,2009-02,2008-03,,129.65,,129.65,0.0,,7.18,2009-09,,2009-09,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,9
FR_200902_010,,,10,Balram OCP Extension (MCL),,,COAL,2009-02,2007-12,,172.08,,172.08,0.0,,76.35,2009-03,,2009-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,10
FR_200902_011,,,11,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2009-02,2004-10,,2030.78,,2453.57,422.79,,1582.65,2009-06,,2009-06,0.0,,,6,24,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,11
FR_200902_012,,,12,BARSINGSAR LIGNITE MINE,,,COAL,2009-02,2004-12,,254.07,,254.6,0.53,,190.75,2009-06,,2009-06,0.0,,,9,16,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,12
FR_200902_013,,,13,BARSINGSAR TPS OF 250 MW,,,COAL,2009-02,2004-12,,1114.18,,1626.09,511.91,,1051.27,2009-06,,2009-06,0.0,,,10,26,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,13
FR_200902_014,,,14,EXPANSION OF MINE-II,,,COAL,2009-02,2004-10,,2161.28,,2295.93,134.65,,1465.79,2009-06,,2009-06,0.0,,,12,23,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,16,14
FR_200902_015,,,15,BHARATPUR OC EXPANSION PHASE-III PROJECT,,,COAL,2009-02,2007-02,,131.39,,131.39,0.0,,34.73,2010-03,,2010-03,0.0,,,0,2,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,15
FR_200902_016,,,16,JHANJRA LONGWAL UG PHASE-II,,,COAL,2009-02,2006-11,,287.18,,287.17,-0.01,,,2009-11,,2010-03,4.0,,,0,1,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,16
FR_200902_017,,,17,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2009-02,2005-07,,1667.55,,1667.55,0.0,,687.96,2010-03,,2010-03,0.0,,,10,16,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,17
FR_200902_018,,,18,KULDA OCP,,,COAL,2009-02,2005-01,,302.96,,302.96,0.0,,52.07,2010-03,,2010-03,0.0,,,0,4,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,18
FR_200902_019,,,19,DIPKA EXPANSION OCP,,,COAL,2009-02,2005-07,,1268.53,,1268.53,0.0,,564.16,2010-03,,2010-03,0.0,,,4,13,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,19
FR_200902_020,,,20,KRISHNASHILA,,,COAL,2009-02,2006-05,,789.88,,789.88,0.0,,130.88,2010-03,,2010-03,0.0,,,1,5,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,20
FR_200902_021,,,21,KUSMUNDA EXPANSION OCP,,,COAL,2009-02,2006-06,,737.65,,1188.31,450.66,,515.12,2011-03,2013-03,2011-03,0.0,-24.0,,4,5,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,21
FR_200902_022,,,22,ASHOK OC EXPANSION,,,COAL,2009-02,2006-04,2007-12,471.66,341.63,471.66,0.0,130.03,101.64,2011-03,,2011-03,0.0,,,2,4,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,22
FR_200902_023,,,23,Kaniha OCP,,,COAL,2009-02,2007-12,,457.77,,457.77,0.0,,35.29,2012-03,,2012-03,0.0,,,0,2,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,23
FR_200902_024,,,24,BLOCK-B OCP NCL (3.5 MTY),,,COAL,2009-02,2006-07,,746.04,,746.04,0.0,,110.01,2012-03,,2012-03,0.0,,,3,5,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,24
FR_200902_025,,,25,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",,,COAL,2009-02,2007-10,,529.4,,259.4,-270.0,,,2012-03,,2012-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,25
FR_200902_026,,,26,PELMA UG,,,COAL,2009-02,2008-07,,448.32,,448.32,0.0,,,2012-03,,2012-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,26
FR_200902_027,,,27,SHANTIKHANI LONGWALL PROJECTS,,,COAL,2009-02,2006-10,,249.03,,249.03,0.0,,24.07,2012-03,,2012-03,0.0,,,3,28,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,27
FR_200902_028,,,28,MAGADH OC (CCL),CCL,,COAL,2009-02,2006-07,,469.78,706.4,469.78,0.0,-236.62,3.29,2012-07,,2012-07,0.0,,,1,2,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,28
FR_200902_029,,,29,Tuticorin Thermal Power Project,,,COAL,2009-02,2008-05,,4904.54,,4904.54,0.0,,68.46,2012-08,,2012-08,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,29
FR_200902_030,,,30,Kakatiya Laongwall,,,COAL,2009-02,2008-12,,453.63,,453.63,0.0,,21.76,2012-12,,2012-12,0.0,,,0,46,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,30
FR_200902_031,,,31,Batura OC,,,COAL,2009-02,2008-09,,203.82,,203.82,0.0,,,2013-03,,2013-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,17,31
FR_200902_032,,,32,Gopal Prasad OCP,,,COAL,2009-02,2008-02,,395.87,,395.87,0.0,,14.2,2013-03,,2013-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,32
FR_200902_033,,,33,ADRIYALA SHAFT PROJECT,,,COAL,2009-02,2006-09,,212.34,,212.34,0.0,,13.36,2013-03,,2013-03,0.0,,,6,36,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,33
FR_200902_034,,,34,JALLARAM SHAFT PROJECT UG,,,COAL,2009-02,2007-09,,467.78,,467.78,0.0,,10.35,2013-03,,2013-03,0.0,,,2,27,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,34
FR_200902_035,,,35,BINA EXTENSION OC PROJECT,,,COAL,2009-02,2006-11,,168.97,,168.97,0.0,,43.9,2014-03,,2013-11,-4.0,,,2,2,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,35
FR_200902_036,,,36,Bhubaneswari; OCP,,,COAL,2009-02,2007-12,,490.1,,490.1,0.0,,48.8,2014-03,,2014-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,36
FR_200902_037,,,37,AMLOHRI EXPANSION PROJECT 4 TO 10 (6 MTY),,,COAL,2009-02,2006-05,,1352.04,,1352.04,0.0,,1.6,2014-03,,2014-03,0.0,,,2,4,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,37
FR_200902_038,,,38,CHURCHA UG,,,COAL,2009-02,2008-06,,462.35,,462.35,0.0,,229.72,2014-06,,2014-06,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,38
FR_200902_039,,,39,Talabira OCP,,,COAL,2009-02,2008-03,,447.72,,447.72,0.0,,4.36,2015-03,,2015-03,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,39
FR_200902_040,,,40,SECOND PHASE EXPANSION OF NALCO,,,MINES,2009-02,2004-10,,4091.51,,4091.51,0.0,,2871.5,2008-12,,,,,,25,111,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,40
FR_200902_041,,,41,REBUILDING OF COKE OVEN BATTERY No.5,,,STEEL,2009-02,2004-12,,219.04,,219.04,0.0,,167.38,2007-01,,2009-02,25.0,,,4,10,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,41
FR_200902_042,,,42,"COKE OVEN BATTERY No.4 RASHTRIYA ISPAT NIGAM LTD.,VIZAG",,,STEEL,2009-02,2003-12,,286.63,,355.21,68.58,,299.99,2006-12,,2009-04,28.0,,,0,21,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,42
FR_200902_043,,,43,Coking Coal Storage Facilities in Coal Handling Plant,,,STEEL,2009-02,2006-09,,133.91,,134.32,0.41,,93.02,2008-03,,2009-05,14.0,,2.0,1,3,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,43
FR_200902_044,,,44,INSTALLATION OF 700 TONNES PER DAY OXYGEN PLANT,,,STEEL,2009-02,2007-07,,302.7,,302.7,0.0,,87.6,2009-06,,2009-06,0.0,,,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,44
FR_200902_045,,,45,INSTALLATION OF NEW COKE OVEN GAS HOLDER,,,STEEL,2009-02,2007-07,,123.22,,123.22,0.0,,59.48,2009-06,,2009-06,0.0,,,1,1,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,18,45
FR_200902_046,,,46,INSTALLATION OF MSDS-V & TRANSMISSION NETWORK,,,STEEL,2009-02,2007-05,,143.02,,143.02,0.0,,96.33,2008-11,,2009-06,7.0,,4.0,0,0,,,,FLR_FEB_2009.pdf,Sector-Wise analysis of projects,19,46
