observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200905_001,,,1,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2009-05,2001-05,,4213.0,,3282.0,-931.0,,2409.0,2009-10,,2009-12,2.0,,,71,75,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,1
FR_200905_002,,,2,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2009-05,2002-04,,3072.0,,3072.0,0.0,,2013.0,2008-02,,2009-12,22.0,,,61,75,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,2
FR_200905_003,,,3,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2009-05,2001-12,,13171.0,,13171.0,0.0,,11912.0,2008-12,,2010-08,20.0,,,61,119,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,3
FR_200905_004,,,4,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2009-05,2003-09,,3492.0,,3492.0,0.0,,1719.34,2010-09,,2010-09,0.0,,,12,76,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,4
FR_200905_005,,,5,Uranium Ore Mine & Processing Plant at Tummalapalle,,,ATOMIC ENERGY,2009-05,2007-09,,1106.29,,1106.29,0.0,,273.34,2011-04,,2011-04,0.0,,,0,0,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,5
FR_200905_006,,,6,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING,,,ATOMIC ENERGY,2009-05,2007-02,,290.92,,290.92,0.0,,131.42,2009-02,,2009-06,4.0,,,8,24,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,6
FR_200905_007,,,7,C/o Expandable Modular Integrated Ter. Buld.Raja Bhoj Airpt.,,,ATOMIC ENERGY,2009-05,2008-03,,135.04,,135.04,0.0,,25.0,2009-09,,2009-09,0.0,,,0,0,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,7
FR_200905_008,,,8,C/o New expandable Modular Integrated Bldg.Raipur Airport,,,ATOMIC ENERGY,2009-05,2008-03,,129.65,,129.65,0.0,,20.26,2009-09,,2009-09,0.0,,,0,0,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,8
FR_200905_009,,,9,Construction of New Internation Terminal Building,,,ATOMIC ENERGY,2009-05,2006-10,,245.58,295.0,245.58,0.0,-49.42,174.8,2008-12,,2009-09,9.0,,,18,28,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,9
FR_200905_010,,,10,"C/o Expandable Modular Ter. Bldg. at DABH, Indore",,,ATOMIC ENERGY,2009-05,2008-02,,135.6,,135.6,0.0,,19.92,2009-10,,2009-10,0.0,,,0,0,,,,FLR_MAY_2009.pdf,Sector-Wise analysis of projects,16,10
