observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201104_001,,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2011-04,2003-09,,3492.0,,5677.0,,,2976.38,2010-09,,2012-01,,,,8,80,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,1
FR_201104_002,,020100040,2,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu",NPCIL,,ATOMIC ENERGY,2011-04,2001-12,,13171.0,,15824.0,,,13781.0,2008-12,,2012-03,,,,61,119,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,2
FR_201104_003,,N02000007,3,"URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL - UCIL,Andhra Pradesh Total",,,ATOMIC ENERGY,2011-04,2007-09,,1106.29,17769.29,1106.29,,,965.76,2011-04,,2012-04,,,,0,1,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,3
FR_201104_004,,N04000068,4,"CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 - AAI,Tamil Nadu",,,CIVIL AVIATION,2011-04,2009-06,,213.35,,213.35,,,60.89,2010-09,,2011-03,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,4
FR_201104_005,,N04000037,5,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2011-04,2008-08,,1942.51,,1942.51,,,1133.06,2011-05,,2011-08,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,5
FR_201104_006,,N04000038,6,"D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1) - AAI,Tamil Nadu",K1,,CIVIL AVIATION,2011-04,2008-08,,1273.0,,1273.0,,,797.2,2011-01,,2011-10,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,6
FR_201104_007,,N04000069,7,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2011-04,2010-05,,204.73,,204.73,,,32.5,2012-05,,2012-05,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,7
FR_201104_008,,N04000050,8,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2011-04,2009-01,,264.29,,264.29,,,136.56,2011-01,,2012-06,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,8
FR_201104_009,,N04000065,9,"GAGAN PROJECT - AAI,Multi State",,,CIVIL AVIATION,2011-04,2008-09,,393.6,,393.6,,,160.29,2013-06,,2013-06,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,9
FR_201104_010,,N04000040,10,"D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA - AAI,Tamil Nadu Total",,,CIVIL AVIATION,2011-04,2008-01,,535.0,4826.48,535.0,,,143.97,2010-06,,,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,10
FR_201104_011,,060100089,11,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2011-04,2004-12,,1114.18,1626.09,1626.09,,,1587.8,2009-06,,2011-06,,,,59,26,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,11
FR_201104_012,,060100087,12,"TPS-II EXPANSION (1470MW TO 1970MW) (NLC) - NLC,Tamil Nadu",NLC,,COAL,2011-04,2004-10,,2030.78,2453.57,2453.57,,,2171.59,2009-06,,2012-03,,,,60,24,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,12
FR_201104_013,,060100092,13,"KULDA OCP (MAHANADI COALFIELDS LTD.) - MCL,Orissa",MAHANADI COALFIELDS LTD.,,COAL,2011-04,2005-01,,302.96,,302.96,,,76.47,2010-03,2012-03,2012-03,,,,0,4,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,13
FR_201104_014,,N06000033,14,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI - NCL,Madhya pradesh",,,COAL,2011-04,2007-10,,259.4,,259.4,,,1.49,2012-03,,2012-03,,,,0,1,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,14
FR_201104_015,,N06000044,15,"BALRAM OCP EXTENSION - MCL,Orissa",,,COAL,2011-04,2007-12,,172.08,,172.08,,,,2009-03,2010-03,2012-03,,,,0,2,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,15
FR_201104_016,,N06000067,16,"ANANTA OC EXPANSION PH-III - MCL,Orissa",,,COAL,2011-04,2008-08,,207.28,,207.28,,,60.77,2012-03,,2012-03,,,,0,0,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,30,16
FR_201104_017,,N06000078,17,"RAMAGUNDAM OC-II EXTENSION - SCCL,Andhra Pradesh",,,COAL,2011-04,2009-12,,418.97,,418.97,,,71.74,2012-03,,2012-03,,,,28,27,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,17
FR_201104_018,,N06000080,18,"MANUGURU OC-II EXTENSION PHASE-II - SCCL,Andhra Pradesh",,,COAL,2011-04,2010-03,,181.19,,181.19,,,0.91,2012-03,,2012-03,,,,7,34,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,18
FR_201104_019,,N06000047,19,"TUTICORIN THERMAL POWER PROJECT - NLC,Tamil Nadu",,,COAL,2011-04,2008-05,,4909.54,4909.54,4909.54,,,1642.72,2012-08,,2012-10,,,,0,3,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,19
FR_201104_020,,060100096,20,"ASHOK EXPN.OCP -CCL (5 MTY) - CCL,Jharkhandd",5 MTY,,COAL,2011-04,2006-04,,471.66,341.63,341.63,,,98.32,2011-03,2013-03,2013-03,,,,0,2,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,20
FR_201104_021,,N06000007,21,"KRISHNASHILA (NCL) (4MTY) - NCL,Madhya pradesh",4MTY,,COAL,2011-04,2006-05,,789.88,741.56,741.56,,,137.37,2010-03,,2013-03,,,,0,2,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,21
FR_201104_022,,N06000008,22,"KUSMUNDA EXPN.OCP(SECL)(10MTY) - SECL,Chhatisgarh",10MTY,,COAL,2011-04,2006-06,,737.65,1188.31,1188.31,,,576.97,2013-03,,2013-03,,,,0,3,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,22
FR_201104_023,,N06000035,23,"KANIHA OCP - MCL,Multi State",,,COAL,2011-04,2007-12,,457.77,,457.77,,,69.13,2013-03,,2013-03,,,,0,2,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,23
FR_201104_024,,N06000068,24,"HINGULA OC-II EXP. PH-II (15 MTY) - MCL,Orissa",15 MTY,,COAL,2011-04,2008-11,,479.53,,479.53,,,205.76,2013-03,,2013-03,,,,0,2,,,,FR_APR_2011.pdf,Sector-Wise analysis of projects,31,24
