observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201208_001,,N12000072,1,"1.2 MTPA PELLET PLANT PROJECT ,DONIMALAI (NMDC) - NMDC,Karnataka",NMDC,,STEEL,2012-08,2011-04,,572.0,,572.0,,,165.84,,,2013-04,,,,11,19,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,1
FR_201208_002,,N12000073,2,"7.0 MTPA KUMARASWAMY IRON ORE MINE PROJECT (NMDC) - NMDC,Karnataka Total",NMDC,,STEEL,2012-08,2011-02,,898.55,1470.55,898.55,,,106.43,,,2013-05,,,,16,21,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,2
FR_201208_003,,N16000057,3,"RESITEMENT OF MARKETING INSTALATION AT VISAKHAPATT - HPCL,Andhra Pradesh",,,PETROLEUM,2012-08,2009-01,,756.0,,898.0,,,893.3,2012-03,,2012-08,,,,0,53,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,3
FR_201208_004,,N16000109,4,"EURO-IV DHDT - CPCL,Tamil Nadu",,,PETROLEUM,2012-08,2008-09,,2615.69,,2615.69,,,1941.28,,,2012-09,,,,116,116,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,4
FR_201208_005,,N16000110,5,"CDU/VDU-II - CPCL,Tamil Nadu",,,PETROLEUM,2012-08,2010-03,,333.99,,333.99,,,177.15,,,2012-09,,,,33,36,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,5
FR_201208_006,,N16000070,6,"KARANPUR MORADABAD-KASHIPUR- RUDRAPUR PIPELINE PROJECT PHASE- - GAIL,Multi State",,,PETROLEUM,2012-08,2009-07,,238.68,302.0,302.0,,,217.12,2012-01,,2012-10,,,,1,1,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,6
FR_201208_007,,N16000058,7,"PARADIP REFINERY PROJECT - IOCL,Orissa Total",,,PETROLEUM,2012-08,2009-02,,29777.0,33721.36,30426.0,,,17280.0,2013-09,,2013-09,,,,167,100,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,7
FR_201208_008,,N18000071,8,"TRIPURA GAS BASED POWER PROJECT - NEEPCO,Tripura",,,POWER,2012-08,2009-07,,421.01,623.44,623.44,,,325.05,2013-07,,2013-07,,,,6,29,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,8
FR_201208_009,,N18000014,9,"TAPOVAN-VISHNUGAD HEP (4x130MW) (NTPC) - NTPC,Uttaranchal Total",NTPC,,POWER,2012-08,2006-11,,2978.48,3399.49,2978.48,,,1528.0,,,2015-09,,,,7,14,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,9
FR_201208_010,,220100191,10,"KARUR-SALEM(NL),SR - SR,Tamil Nadu",NL,,RAILWAYS,2012-08,1997-02,,155.55,229.88,712.0,,,736.89,,,2012-10,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,10
FR_201208_011,,N22000080,11,"DINDIGUL-POLLACHI-PALGHAT- POLLACHI AND COIMBATORE - SR,Tamil Nadu",,,RAILWAYS,2012-08,2006-09,,343.17,343.17,900.0,,,542.57,,,2012-12,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,11
FR_201208_012,,220100183,12,"HASSAN-BANGALORE VIA SHRAVANA-BELGOLA(NL),SWR - SWR,Karnataka",NL,,RAILWAYS,2012-08,1997-02,,295.0,412.91,944.55,,,509.89,,,2013-01,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,12
FR_201208_013,,220100316,13,"MAHARAJGANJ-MASRAKH (NL) - NER - NER,Bihar",NL,,RAILWAYS,2012-08,2003-04,,218.19,218.19,218.19,,,162.7,,,2013-02,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,95,13
FR_201208_014,,220100181,14,"AHMEDNAGAR-PARLI VAIJNATH(NL) CR - CR,Maharashtra",NL,,RAILWAYS,2012-08,1997-02,,353.08,1010.0,2200.0,,,182.53,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,14
FR_201208_015,,220100184,15,"DAUSA-GANGAPUR CITY(NL),NWR - NWR,Rajasthan",NL,,RAILWAYS,2012-08,1997-02,,151.84,410.08,410.08,,,194.48,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,15
FR_201208_016,,220100257,16,"KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR) - ECR,Bihar",ECR,,RAILWAYS,2012-08,1997-04,,78.23,162.87,162.87,,,92.71,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,16
FR_201208_017,,220100263,17,"QUILON-TIRUNELVELI-TENKASI- VIRUDHUNAGAR(SR)(GC) - SR,Multi State",GC,,RAILWAYS,2012-08,1998-03,,280.0,842.35,1029.0,,,753.56,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,17
FR_201208_018,,220100284,18,"KHURDA ROAD-BOLANGIR(NL)ECOR - ECOR,Orissa",NL,,RAILWAYS,2012-08,1994-04,,355.38,470.21,1100.0,,,254.1,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,18
FR_201208_019,,220100315,19,"RANGIA-MURKONGSELEK, (GC) ALONG WITH LINKED FINGER - NEFR,Multi State",GC,,RAILWAYS,2012-08,2004-01,,915.7,915.7,1717.29,,,1343.13,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,19
FR_201208_020,,220100328,20,"TALCHER-BIMALAGARH(NL)(ECOR) - ECOR,Orissa",ECOR,,RAILWAYS,2012-08,2005-04,,726.96,810.78,810.78,,,113.8,,,2013-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,20
FR_201208_021,,220100324,21,"CHHINDWARA - NAGPUR (GC)(SECR) - SECR,Madhya pradesh",SECR,,RAILWAYS,2012-08,2005-04,,383.79,,585.93,,,194.91,,,2013-12,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,21
FR_201208_022,,220100256,22,"KAPTANGANJ-THAWE-SIWAN- CHHAPRA GC (NER) - NER,Multi State",NER,,RAILWAYS,2012-08,1999-04,,323.4,323.4,750.89,,,495.55,,,2014-03,,,,0,1,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,22
FR_201208_023,,220100319,23,"HATHUA-BHATNI (N L) (NER) - NER,Multi State",NER,,RAILWAYS,2012-08,2005-04,,230.03,230.03,230.03,,,145.43,,,2014-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,23
FR_201208_024,,N22000086,24,"NEW B.G. LINE FROM TETELIA TO BYRNIHAT (NATIONAL P - NEFR,Assam",,,RAILWAYS,2012-08,2006-09,,200.0,200.0,385.2,,,112.6,,,2014-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,24
FR_201208_025,,220100135,25,"New BG line Rly line from Eklakhi- Balurghat includ - NEFR,West Bengal",,,RAILWAYS,2012-08,1983-04,,36.8,274.41,703.17,,,242.01,,,2015-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,25
FR_201208_026,,N22000101,26,"KISHANGANJ JALALGARH, NL, NEFR - NEFR,Bihar",,,RAILWAYS,2012-08,2008-04,,282.92,282.92,359.86,,,1.22,,,2015-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,26
FR_201208_027,,220100303,27,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR - ECR,Bihar Total",NL,,RAILWAYS,2012-08,2003-04,,324.66,528.65,324.66,,,180.42,,,2015-03,,,,0,0,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,27
FR_201208_028,,N24000138,28,"Hungund-Surathkal and Mangalore- Knt/Kerala Border - NHAI,Karnataka",,,ROAD TRANSPORT & HIGHWAYS,2012-08,2010-09,,946.0,,946.0,,,1394.4,,,2013-03,,,,3,3,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,28
FR_201208_029,,N24000146,29,"KUNDUPUR-SURATHKAL & MANGLORE - NHAI,Karnataka",,,ROAD TRANSPORT & HIGHWAYS,2012-08,2010-09,,671.0,,671.0,,,737.54,,,2013-03,,,,2,3,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,29
FR_201208_030,,N24000160,30,"UGRADATION OF HYDERABAD- BANGALORE SECTION - NHAI,Karnataka",,,ROAD TRANSPORT & HIGHWAYS,2012-08,2010-11,,680.0,,680.0,,,99.39,,,2013-04,,,,2,2,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,30
FR_201208_031,,N24000152,31,"DEVIHALLI-HASSAN - NHAI,Karnataka",,,ROAD TRANSPORT & HIGHWAYS,2012-08,2010-12,,453.0,,453.0,,,351.33,,,2013-06,,,,1,1,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,31
FR_201208_032,,N24000158,32,"BELGAUM-DHARWAD(NH-4) - NHAI,Karnataka",NH-4,,ROAD TRANSPORT & HIGHWAYS,2012-08,2010-12,,480.0,,480.0,,,417.0,,,2013-10,,,,2,2,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,32
FR_201208_033,,N24000157,33,"CHITRADURGA-TUMKUR(NH-4) - NHAI,Karnataka",NH-4,,ROAD TRANSPORT & HIGHWAYS,2012-08,2011-03,,839.0,94.0,839.0,,,302.14,,,2013-12,,,,0,1,,,,FR_AUGUST_2012.pdf,Sector-Wise analysis of projects,96,33
