observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201108_001,,020100044,1,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2011-08,2003-09,,3492.0,,5677.0,,,3178.67,2010-09,,2012-01,,,,8,80,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,1
FR_201108_002,,N02000007,2,"URANIUM ORE MINE AND PROCESSING PLANT AT TUMMALAPA - UCIL,Andhra Pradesh",,,ATOMIC ENERGY,2011-08,2007-09,,1106.29,,1106.29,,,1000.7,2011-04,,2012-04,,,,0,1,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,2
FR_201108_003,,020100040,3,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu",NPCIL,,ATOMIC ENERGY,2011-08,2001-12,,13171.0,,15824.0,,,13994.0,2008-12,,2012-07,,,,61,119,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,3
FR_201108_004,,N02000010,4,"KAKRAPAR ATOMIC POWER PROJECT - 3&4 - NPCIL,Gujarat Total",,,ATOMIC ENERGY,2011-08,2009-10,,11459.0,29228.29,11459.0,,,959.0,2015-12,2016-05,2016-11,,,,0,70,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,4
FR_201108_005,,N04000038,5,"D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT. - AAI,Tamil Nadu",,,CIVIL AVIATION,2011-08,2008-08,,1273.0,2015.0,2015.0,,,928.46,2011-01,,2011-12,,,,0,0,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,5
FR_201108_006,,N04000037,6,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2011-08,2008-08,,1942.51,,2325.0,,,1333.0,2011-05,,2012-03,,,,0,0,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,6
FR_201108_007,,N04000069,7,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2011-08,2010-05,,204.73,,204.73,,,39.57,2012-05,,2012-05,,,,0,0,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,7
FR_201108_008,,N04000050,8,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2011-08,2009-01,,309.4,,264.29,,,147.16,2011-01,,2012-12,,,,0,0,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,8
FR_201108_009,,N04000065,9,"GAGAN PROJECT - AAI,Multi State Total",,,CIVIL AVIATION,2011-08,2008-09,,393.6,4123.24,393.6,,,323.65,2013-06,,2013-06,,,,0,0,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,9
FR_201108_010,,060100089,10,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2011-08,2004-12,,1114.18,1626.09,1626.09,,,1640.49,2009-06,,2011-09,,,,59,26,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,10
FR_201108_011,,060100092,11,"KULDA OCP (MAHANADI COALFIELDS LTD.) - MCL,Orissa",MAHANADI COALFIELDS LTD.,,COAL,2011-08,2005-01,,302.96,,302.96,,,83.72,2010-03,,2012-03,,,,9,11,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,11
FR_201108_012,,060100096,12,"ASHOK EXPN.OCP -CCL (10 MTY) - CCL,Jharkhandd",10 MTY,,COAL,2011-08,2006-04,,471.66,341.63,341.63,,,101.43,2011-03,2012-03,2012-03,,,,0,2,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,12
FR_201108_013,,N06000033,13,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI - NCL,Madhya pradesh",,,COAL,2011-08,2007-10,,259.4,,259.4,,,1.51,2012-03,2012-03,2012-03,,,,0,1,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,13
FR_201108_014,,N06000044,14,"BALRAM OCP EXTENSION, MCL (8.00 Mty) - MCL,Orissa",8.00 Mty,,COAL,2011-08,2007-12,,172.08,,172.08,,,93.78,,,2012-03,,,,4,4,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,14
FR_201108_015,,N06000067,15,"ANANTA OC EXPANSION PH-III (15.0 Mty) - MCL,Orissa",15.0 Mty,,COAL,2011-08,2008-08,,207.28,,207.28,,,67.14,,,2012-03,,,,5,7,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,35,15
FR_201108_016,,N06000078,16,"RAMAGUNDAM OC-II EXTENSION - SCCL,Andhra Pradesh",,,COAL,2011-08,2009-12,,418.97,,418.97,,,77.15,2012-03,,2012-03,,,,28,27,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,16
FR_201108_017,,N06000080,17,"MANUGURU OC-II EXTENSION PHASE-II - SCCL,Andhra Pradesh",,,COAL,2011-08,2010-03,,181.19,,181.19,,,21.2,2012-03,,2012-03,,,,10,34,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,17
FR_201108_018,,060100087,18,"TPS-II EXPANSION (1470MW TO 1970MW) (NLC) - NLC,Tamil Nadu",NLC,,COAL,2011-08,2004-10,,2030.78,2453.57,2453.57,,,2249.78,2009-06,,2012-05,,,,60,24,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,18
FR_201108_019,,N06000047,19,"TUTICORIN THERMAL POWER PROJECT - NLC,Tamil Nadu",,,COAL,2011-08,2008-05,,4904.54,4909.54,4909.54,,,1973.76,,,2012-10,,,,0,6,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,19
FR_201108_020,,N06000007,20,"KRISHNASHILA (NCL) (4MTY) - NCL,Madhya pradesh",4MTY,,COAL,2011-08,2006-05,,789.88,741.62,741.62,,,139.06,2010-03,2013-03,2013-03,,,,0,2,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,20
FR_201108_021,,N06000008,21,"KUSMUNDA EXPN.OCP(SECL)(10- 15MTY) - SECL,Chhatisgarh",10- 15MTY,,COAL,2011-08,2006-06,,737.65,,1188.31,,,569.71,,,2013-03,,,,0,8,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,21
FR_201108_022,,N06000035,22,"KANIHA OCP, MCL, (10.0 Mty) - MCL,Orissa",10.0 Mty,,COAL,2011-08,2007-12,,457.77,,457.77,,,105.37,,,2013-03,,,,6,11,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,22
FR_201108_023,,N06000068,23,"HINGULA OC-II EXP. PH-III (15 MTY) - MCL,Orissa",15 MTY,,COAL,2011-08,2008-11,,475.93,,479.63,,,66.93,,,2013-03,,,,5,7,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,23
FR_201108_024,,N06000085,24,"Purnadih OCP - CCL,Jharkhandd",,,COAL,2011-08,2008-07,,210.98,,210.98,,,24.25,2013-03,,2013-03,,,,0,2,,,,FR_AUG_2011.pdf,Sector-Wise analysis of projects,36,24
