observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200104_001,,,1,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2001-04,1991-01,1997-12,3447.06,6421.0,8949.0,5501.94,2528.0,1732.0,2007-01,,2006-07,-6.0,,,1,106,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,1
FR_200104_002,,,2,MEDAPALI (SCCL),SCCL,,COAL,2001-04,1993-04,,219.82,,219.82,0.0,,39.77,2001-03,,2001-03,0.0,,,0,7,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,2
FR_200104_003,,,3,POOTKI BALIHARI UG,,,COAL,2001-04,1983-12,1997-04,199.87,199.87,182.34,-17.53,-17.53,169.05,1994-03,2000-03,2001-03,84.0,12.0,,0,3,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,3
FR_200104_004,,,4,JHANJRA U.G. (ECL),ECL,,COAL,2001-04,1982-12,1995-08,184.55,403.96,403.96,219.41,0.0,366.95,1994-03,1998-03,2002-03,96.0,48.0,,0,0,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,4
FR_200104_005,,,5,PAREJ OC(CCL),CCL,,COAL,2001-04,1993-03,1993-03,116.19,,162.88,46.69,,113.76,1998-03,,2002-03,48.0,,,0,2,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,5
FR_200104_006,,,6,GOUTHAMKHANI OC (SCCL),SCCL,,COAL,2001-04,1995-06,,415.93,,158.24,-257.69,,110.21,2002-03,,2002-03,0.0,,,0,8,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,6
FR_200104_007,,,7,MINE-1A(NLC),NLC,,COAL,2001-04,1998-02,,1032.81,,1107.93,75.12,,475.11,2003-03,,2002-04,-11.0,,,1,23,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,7
FR_200104_008,,,8,TPS-I EXP.(NLC),NLC,,COAL,2001-04,1996-02,,1590.58,,1438.09,-152.49,,702.07,2001-03,,2002-05,14.0,,,1,14,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,8
FR_200104_009,,,9,RAVINDERKHANI NEW TECH. UG (SCCL),SCCL,,COAL,2001-04,1995-12,,242.95,,242.94,-0.01,,21.18,2003-03,,2003-03,0.0,,,0,16,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,9
FR_200104_010,,,10,SATGRAM UG(ECL),ECL,,COAL,2001-04,1979-05,1990-09,26.37,148.26,118.87,92.5,-29.39,111.98,1989-03,1995-03,2003-03,168.0,96.0,,0,0,,,,FR_April_2001.pdf,Sector-Wise analysis of projects,6,10
