observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200912_001,,020100042,1,RAJASTHAN ATOMIC POWER PROJECT 5 and 6 (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-12,2002-04,,3072.0,,3072.0,,,2070.0,2008-02,,2010-02,,,,73,75,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,1
FR_200912_002,,020100041,2,KAIGA 3 and 4 UNITS (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-12,2001-05,,4213.0,,3282.0,,,2476.0,2009-10,2007-09,2010-03,,,,71,75,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,2
FR_200912_003,,020100040,3,KUDANKULAM APP (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-12,2001-12,,13171.0,,13171.0,,,12446.0,2008-12,,2011-03,,,,61,119,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,3
FR_200912_004,,N02000007,4,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL -,,,ATOMIC ENERGY,2009-12,2007-09,,1106.29,,1106.29,,,356.94,2011-04,,2011-04,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,4
FR_200912_005,,020100044,5,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - Total","BHAVINI, 500 MWE",,ATOMIC ENERGY,2009-12,2003-09,,3492.0,25054.29,5677.0,,,2049.67,2010-09,,2011-09,,,,8,80,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,5
FR_200912_006,,N04000017,6,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A -,,,CIVIL AVIATION,2009-12,2007-02,,290.92,,290.92,,,146.12,2009-02,,2009-10,,,,1,24,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,6
FR_200912_007,,N04000016,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING -,,,CIVIL AVIATION,2009-12,2006-10,,245.58,295.0,245.58,,,74.8,2008-12,,2009-12,,,,1,28,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,7
FR_200912_008,,N04000034,8,C/O NEW EXPANDABLE MODULAR INTEGRATED BLDG. RAIPUR -,,,CIVIL AVIATION,2009-12,2008-03,,129.65,135.72,129.65,,,31.2,2009-09,2010-03,2010-03,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,8
FR_200912_009,,N04000035,9,C/O EXPANDABLE MODULAR INTEGRATED TER. BULD. RAJA -,,,CIVIL AVIATION,2009-12,2008-03,,135.04,,135.04,,,58.25,2009-09,,2010-03,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,9
FR_200912_010,,N04000036,10,C/O EXPANDABLE MODULAR TER. BULD. AT DABH INDORE -,,,CIVIL AVIATION,2009-12,2008-02,,135.6,,135.6,,,44.76,2009-10,,2010-03,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,10
FR_200912_011,,N04000040,11,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA -,,,CIVIL AVIATION,2009-12,2008-01,,535.0,,535.0,,,143.97,2010-06,,2010-06,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,11
FR_200912_012,,N04000039,12,C/O INTEGERATED CARGO COMPLEX(PH-III) AT CHENNAI A -,PH-III,,CIVIL AVIATION,2009-12,2008-08,,144.94,,144.94,,,21.86,2010-04,,2010-12,,,,0,1,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,12
FR_200912_013,,N04000038,13,D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE -,,,CIVIL AVIATION,2009-12,2008-08,,1273.0,1212.0,1273.0,,,255.24,2011-01,,2011-01,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,13
FR_200912_014,,N04000037,14,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - Total,,,CIVIL AVIATION,2009-12,2008-08,,1942.51,4832.24,1942.51,,,245.58,2011-05,,2011-05,,,,0,0,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,14
FR_200912_015,,060100088,15,EXPANSION OF MINE-II (10.5 MTPA TO 15.0 MTPA) (NLC) -,NLC,,COAL,2009-12,2004-10,,2161.28,2295.93,2295.93,,,1715.75,2009-06,,2010-02,,,,29,23,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,33,15
FR_200912_016,,060100090,16,BARSINGSAR MINE 2.10 MTPA LIGNITE (NLC) -,NLC,,COAL,2009-12,2004-12,,254.07,254.6,254.6,,,207.91,2009-06,,2010-02,,,,18,21,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,34,16
FR_200912_017,,060100093,17,GEVRA EXPANSION OCP (SECL) (25 MTY) -,25 MTY,,COAL,2009-12,2005-07,,1667.55,,1667.55,,,928.56,2010-03,,2010-03,,,,3,7,,,,FR_DEC_2009.pdf,Sector-Wise analysis of projects,34,17
