observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201012_001,,020100041,1,"KAIGA 3 and 4 UNITS (NPCIL) - NPCIL,Karnataka",NPCIL,,ATOMIC ENERGY,2010-12,2001-05,,4213.0,,4213.0,,,2610.0,2009-10,2007-09,2010-12,,,,71,75,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,1
FR_201012_002,,N02000007,2,"URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL - UCIL,Andhra Pradesh",,,ATOMIC ENERGY,2010-12,2007-09,,1106.29,,1106.29,,,486.37,,,2011-04,,,,0,1,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,2
FR_201012_003,,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2010-12,2003-09,,3492.0,,5677.0,,,2592.29,2010-09,,2011-09,,,,8,80,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,3
FR_201012_004,,020100040,4,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu Total",NPCIL,,ATOMIC ENERGY,2010-12,2001-12,,13171.0,21982.29,13171.0,,,13398.0,2008-12,,2011-12,,,,61,119,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,4
FR_201012_005,,N04000017,5,"CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A - AAI,Gujarat",,,CIVIL AVIATION,2010-12,2007-02,,290.92,,290.92,,,259.35,,,2011-01,,,,1,24,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,5
FR_201012_006,,N04000038,6,"D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1) - AAI,Tamil Nadu",K1,,CIVIL AVIATION,2010-12,2008-08,,1273.0,,1273.0,,,659.13,2011-01,,2011-01,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,6
FR_201012_007,,N04000056,7,"Extension of Secondary Runway(K2) - AAI,Tamil Nadu",K2,,CIVIL AVIATION,2010-12,2008-08,,230.0,,230.0,,,220.64,2011-01,,2011-01,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,7
FR_201012_008,,N04000068,8,"CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 - AAI,Tamil Nadu",,,CIVIL AVIATION,2010-12,2009-06,,213.35,,213.35,,,207.18,2010-09,,2011-02,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,8
FR_201012_009,,N04000037,9,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2010-12,2008-08,,1942.51,,1942.51,,,867.54,2011-05,,2011-08,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,9
FR_201012_010,,N04000069,10,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2010-12,2010-05,,204.73,,204.73,,,21.65,2012-05,,2012-05,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,10
FR_201012_011,,N04000065,11,"GAGAN PROJECT - AAI,Multi State",,,CIVIL AVIATION,2010-12,2008-09,,393.6,,393.6,,,205.95,2013-06,,2013-06,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,11
FR_201012_012,,N04000050,12,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim Total",Sikkim,,CIVIL AVIATION,2010-12,2009-01,,264.29,4812.4,264.29,,,85.64,2011-01,,,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,12
FR_201012_013,,060100089,13,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2010-12,2004-12,,1114.18,1626.09,1626.09,,,1525.84,2009-06,,2011-01,,,,59,26,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,13
FR_201012_014,,N06000044,14,"BALRAM OCP EXTENSION - MCL,Orissa",,,COAL,2010-12,2007-12,,172.08,,172.08,,,156.09,2009-03,2011-03,2011-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,14
FR_201012_015,,N06000083,15,"Churi Benti UG - CCL,Jharkhandd",,,COAL,2010-12,2007-06,,163.51,,163.51,,,33.46,2011-03,,2011-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,15
FR_201012_016,,060100087,16,"TPS-II EXPANSION (1470MW TO 1970MW) (NLC) - NLC,Tamil Nadu",NLC,,COAL,2010-12,2004-10,,2030.78,2453.57,2453.57,,,2063.64,2009-06,,2011-10,,,,41,24,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,35,16
FR_201012_017,,060100092,17,"KULDA OCP (MAHANADI COALFIELDS LTD.) - MCL,Orissa",MAHANADI COALFIELDS LTD.,,COAL,2010-12,2005-01,,302.96,,302.96,,,65.72,2010-03,,2012-03,,,,0,4,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,17
FR_201012_018,,060100096,18,"ASHOK EXPN.OCP -CCL (5 MTY) - CCL,Jharkhandd",5 MTY,,COAL,2010-12,2006-04,,471.66,341.63,341.63,,,102.68,2011-03,2012-03,2012-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,18
FR_201012_019,,N06000017,19,"SHANTIKHANI LONGWALL PROJ- SCCL - SCCL,Andhra Pradesh",,,COAL,2010-12,2006-10,,249.03,,249.03,,,38.85,2012-03,,2012-03,,,,8,42,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,19
FR_201012_020,,N06000033,20,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI - NCL,Madhya pradesh",,,COAL,2010-12,2007-10,,259.4,,259.4,,,1.13,2012-03,2012-03,2012-03,,,,0,1,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,20
FR_201012_021,,N06000067,21,"ANANTA OC EXPANSION PH-III - MCL,Orissa",,,COAL,2010-12,2008-08,,207.28,,207.28,,,58.7,2012-03,,2012-03,,,,0,0,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,21
FR_201012_022,,N06000078,22,"RAMAGUNDAM OC-II EXTENSION - SCCL,Andhra Pradesh",,,COAL,2010-12,2009-12,,418.57,418.97,418.97,,,71.6,,,2012-03,,,,7,7,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,22
FR_201012_023,,N06000080,23,"MANUGURU OC-II EXTENSION PHASE-II - SCCL,Andhra Pradesh",,,COAL,2010-12,2010-03,,181.91,,181.19,,,0.9,,,2012-03,,,,2,8,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,23
FR_201012_024,,N06000084,24,"North Urimari OCP - CCL,Jharkhandd",,,COAL,2010-12,2007-12,,179.87,,179.87,,,68.37,2012-03,,2012-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,24
FR_201012_025,,N06000086,25,"Tapin OCP - CCL,Jharkhandd",,,COAL,2010-12,2008-08,,264.68,,264.68,,,78.66,2012-03,,2012-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,25
FR_201012_026,,N06000047,26,"TUTICORIN THERMAL POWER PROJECT - NLC,Tamil Nadu",,,COAL,2010-12,2008-05,,4904.54,,4909.54,,,1318.0,2012-08,,2012-08,,,,0,3,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,26
FR_201012_027,,N06000007,27,"KRISHNASHILA (NCL) (4MTY) - NCL,Madhya pradesh",4MTY,,COAL,2010-12,2006-05,,789.88,741.56,741.56,,,137.06,2010-03,2013-03,2013-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,27
FR_201012_028,,N06000008,28,"KUSMUNDA EXPN.OCP(SECL)(10MTY) - SECL,Chhatisgarh",10MTY,,COAL,2010-12,2006-06,,737.65,1188.31,1188.31,,,556.01,2011-03,,2013-03,,,,0,4,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,28
FR_201012_029,,N06000015,29,"MAGADH OC (CCL) - CCL,Jharkhandd",CCL,,COAL,2010-12,2006-07,,469.78,706.4,706.4,,,16.23,2012-07,2013-03,2013-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,29
FR_201012_030,,N06000025,30,"JALLARAM SHAFT PROJECT - SCCL,Andhra Pradesh",,,COAL,2010-12,2013-03,,467.78,,467.78,,,11.42,2013-03,,2013-03,,,,0,83,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,30
FR_201012_031,,N06000035,31,"KANIHA OCP - MCL,Multi State",,,COAL,2010-12,2007-12,,457.77,,457.77,,,52.04,,,2013-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,31
FR_201012_032,,N06000068,32,"HINGULA OC-II EXP. PH-II (15 MTY) - MCL,Orissa",15 MTY,,COAL,2010-12,2008-11,,475.93,,479.63,,,26.41,2013-03,,2013-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,32
FR_201012_033,,N06000085,33,"Purnadih OCP - CCL,Jharkhandd",,,COAL,2010-12,2008-07,,210.98,,210.98,,,22.83,2013-03,,2013-03,,,,0,2,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,33
FR_201012_034,,N06000016,34,"ADRIYALA SHAFT PROJECT - SCCL,Andhra Pradesh",,,COAL,2010-12,2006-09,,212.34,779.26,779.26,,,133.88,2013-03,2012-07,2013-06,,,,2,22,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,34
FR_201012_035,,060100093,35,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2010-12,2005-07,,1667.55,2675.67,2675.67,,,1022.08,2010-03,2014-03,2014-03,,,,3,10,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,35
FR_201012_036,,060100094,36,"DIPKA EXPANSION OCP (SECL) (20 MTY) - SECL,Chhatisgarh",20 MTY,,COAL,2010-12,2005-07,,1268.53,1943.66,1943.66,,,907.85,2010-03,2014-03,2014-03,,,,2,8,,,,FR_Dec_2010.pdf,Sector-Wise analysis of projects,36,36
