observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201102_001,,N02000007,1,"URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL - UCIL,Andhra Pradesh",,,ATOMIC ENERGY,2011-02,2007-09,,1106.29,,1106.29,,,891.59,,,2011-04,,,,0,1,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,1
FR_201102_002,,020100044,2,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2011-02,2003-09,,3492.0,,5677.0,,,2832.35,2010-09,,2011-09,,,,8,80,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,2
FR_201102_003,,020100040,3,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu Total",NPCIL,,ATOMIC ENERGY,2011-02,2001-12,,13171.0,17769.29,15824.0,,,13504.0,2008-12,,2012-03,,,,61,119,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,3
FR_201102_004,,N04000056,4,"Extension of Secondary Runway(K2) - AAI,Tamil Nadu",K2,,CIVIL AVIATION,2011-02,2008-08,,230.0,,230.0,,,232.94,2011-01,,2011-03,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,4
FR_201102_005,,N04000038,5,"D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1) - AAI,Tamil Nadu",K1,,CIVIL AVIATION,2011-02,2008-08,,1273.0,,1273.0,,,714.65,2011-01,,2011-01,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,5
FR_201102_006,,N04000050,6,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2011-02,2009-01,,264.29,,264.29,,,85.64,2011-01,,2011-01,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,6
FR_201102_007,,N04000068,7,"CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 - AAI,Tamil Nadu",,,CIVIL AVIATION,2011-02,2009-06,,213.35,,213.35,,,211.18,2010-09,,2011-03,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,7
FR_201102_008,,N04000037,8,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2011-02,2008-08,,1942.51,,1942.51,,,945.06,2011-05,,2011-08,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,8
FR_201102_009,,N04000069,9,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2011-02,2010-05,,204.73,,204.73,,,25.64,2012-05,,2012-05,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,9
FR_201102_010,,N04000065,10,"GAGAN PROJECT - AAI,Multi State Total",,,CIVIL AVIATION,2011-02,2008-09,,393.6,4521.48,393.6,,,262.69,2013-06,,2013-06,,,,0,0,,,,FR_FEB_2011.pdf,Sector-Wise analysis of projects,42,10
