observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201201_001,,N02000010,1,"KAKRAPAR ATOMIC POWER PROJECT - 3 and 4 - NPCIL,Gujarat",,,ATOMIC ENERGY,2012-01,2009-10,,11459.0,,11459.0,,,1341.0,2016-05,,2016-11,,,,0,70,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,1
FR_201201_002,,020100040,2,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu",NPCIL,,ATOMIC ENERGY,2012-01,2001-12,,13171.0,,15824.0,,,14268.0,2008-12,,2013-03,,,,39,106,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,2
FR_201201_003,,020100044,3,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu","BHAVINI, 500 MWE",,ATOMIC ENERGY,2012-01,2003-09,,3492.0,,5677.0,,,3410.82,2010-09,,2012-01,,,,5,80,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,3
FR_201201_004,,N02000027,4,"RAJASTHAN ATOMIC POWER PROJECT -7 and 8 (2X700 MW) - NPCIL,Rajasthan",2X700 MW,,ATOMIC ENERGY,2012-01,2009-10,,12320.0,,12320.0,,,860.0,2016-12,,2017-03,,,,0,69,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,4
FR_201201_005,,N02000007,5,"URANIUM ORE MINE and PROCESSING PLANT AT TUMMALAP - UCIL,Andhra Pradesh Total",,,ATOMIC ENERGY,2012-01,2007-09,,1106.29,41548.29,1106.29,,,1000.7,2011-04,,2012-04,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,5
FR_201201_006,,N04000037,6,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2012-01,2008-08,,1942.51,,2325.0,,,1730.76,2011-05,,2012-03,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,6
FR_201201_007,,N04000050,7,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2012-01,2009-01,,309.46,,309.46,,,170.82,2011-01,,2012-12,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,7
FR_201201_008,,N04000069,8,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2012-01,2010-05,,335.61,,335.61,,,68.61,2012-05,,2012-08,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,8
FR_201201_009,,N04000038,9,"D/O KAMARAJ DOMESTIC TER-PH-II And EXP. ANNA INT. - AAI,Tamil Nadu",,,CIVIL AVIATION,2012-01,2008-08,,1808.0,2015.0,2015.0,,,1598.13,2011-01,,2012-02,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,9
FR_201201_010,,N04000065,10,"GAGAN PROJECT - AAI,Multi State Total",,,CIVIL AVIATION,2012-01,2008-09,,626.0,5021.58,626.0,,,340.12,2013-06,,2013-06,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,10
FR_201201_011,,N06000016,11,"ADRIYALA SHAFT PROJECT - SCCL,Andhra Pradesh",,,COAL,2012-01,2006-09,,212.34,779.26,779.26,,,229.64,2013-03,2012-09,2013-12,,,,6,22,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,11
FR_201201_012,,N06000082,12,"AMLAI OC EXPANSION SECTOR 1.50 MTY - SECL,Chhatisgarh",,,COAL,2012-01,2009-11,,198.59,,198.59,,,91.57,2016-03,,2016-03,,,,0,1,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,12
FR_201201_013,,N06000010,13,"AMLOHRI EPR (NCL) (6 MTY) - NCL,Madhya pradesh",6 MTY,,COAL,2012-01,2006-05,,1352.04,23.0,1143.54,,,248.98,2014-03,,2016-03,,,,2,2,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,44,13
FR_201201_014,,N06000067,14,"ANANTA OC EXPANSION PH-III 15.0 Mty - MCL,Orissa",,,COAL,2012-01,2008-08,,207.28,,207.28,,,72.0,,,2012-03,,,,5,7,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,14
FR_201201_015,,060100096,15,"ASHOK EXPN.OCP -CCL (10 MTY) - CCL,Jharkhandd",10 MTY,,COAL,2012-01,2006-04,,471.66,341.63,341.63,,,105.51,2011-03,2012-03,2013-03,,,,0,2,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,15
FR_201201_016,,N06000044,16,"BALRAM OCP EXTENSION,MCL (8.00 Mty) - MCL,Orissa",8.00 Mty,,COAL,2012-01,2007-12,,172.08,,172.08,,,99.91,,,2010-03,,,,4,4,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,16
FR_201201_017,,060100089,17,"BARSINGSAR TPS (2 125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2012-01,2004-12,,1114.18,1626.09,1868.71,,,1714.72,2009-06,,2012-01,,,,26,26,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,17
FR_201201_018,,N06000034,18,"BHUBANESWARI OCP, MCL (20.0 Mty) - MCL,Orissa",20.0 Mty,,COAL,2012-01,2007-12,,490.0,,490.1,,,102.1,,,2017-03,,,,6,12,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,18
FR_201201_019,,N06000019,19,"BINA EXTN. PROJ(6.0 Mtpa) - NCL,Multi State",6.0 Mtpa,,COAL,2012-01,2006-11,,168.97,,168.97,,,40.35,2014-03,,2014-03,,,,1,2,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,19
FR_201201_020,,N06000009,20,"BLOCK-B OCP NCL (3.5 MTY) - NCL,Madhya pradesh",3.5 MTY,,COAL,2012-01,2006-06,,746.04,,535.1,,,141.38,2012-03,,2015-03,,,,0,0,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,20
FR_201201_021,,N06000049,21,"Batura OCP (2.0 MTY) - SECL,Madhya pradesh",2.0 MTY,,COAL,2012-01,2008-09,,203.82,,203.82,,,,2015-03,,2015-03,,,,0,1,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,21
FR_201201_022,,N06000046,22,"CHURCHA ROUG (1.35MTY) - SECL,Chhatisgarh",1.35MTY,,COAL,2012-01,2008-06,,462.35,,462.35,,,261.83,,,2014-03,,,,0,4,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,22
FR_201201_023,,N06000083,23,"Churi Benti UG - CCL,Jharkhandd",,,COAL,2012-01,2007-06,,163.51,,163.51,,,33.66,2011-03,2012-03,2014-03,,,,1,2,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,23
FR_201201_024,,060100094,24,"DIPKA EXPANSION OCP (SECL) (20- SECL,Chhatisgarh",SECL,,COAL,2012-01,2005-07,,1268.53,,1943.66,,,1142.56,2010-03,,2014-03,,,,0,13,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,24
FR_201201_025,,060100093,25,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2012-01,2005-07,,1667.55,,2675.67,,,1291.82,2010-03,,2014-03,,,,0,15,,,,FR_JAN_2012.pdf,Sector-Wise analysis of projects,45,25
