observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201301_001,,N12000072,1,"1.2 MTPA PELLET PLANT PROJECT ,DONIMALAI (NMDC) - NMDC,Karnataka",NMDC,,STEEL,2013-01,2011-04,,572.0,,572.0,,,234.32,,,2013-04,,,,15,19,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,1
FR_201301_002,,N12000073,2,"7.0 MTPA KUMARASWAMY IRON ORE MINE PROJECT (NMDC) - NMDC,Karnataka",NMDC,,STEEL,2013-01,2011-02,,898.55,,898.55,,,188.57,2013-11,,2013-11,,,,17,21,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,2
FR_201301_003,,N12000076,3,"INSTALLATION OF 1x45 MVA Submerged Arc Furnace AT - SAIL,Maharashtra Total",,,STEEL,2013-01,2011-12,,187.33,1657.88,187.33,,,22.69,,,2013-12,,,,0,1,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,3
FR_201301_004,,N16000109,4,"EURO-IV DHDT - CPCL,Tamil Nadu Total",,,PETROLEUM,2013-01,2008-09,,2615.69,2615.69,2615.69,,,1981.03,,,2013-01,,,,118,116,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,4
FR_201301_005,,N18000071,5,"TRIPURA GAS BASED POWER PROJECT - NEEPCO,Tripura Total",,,POWER,2013-01,2009-07,,421.01,623.44,623.44,,,428.37,,,2013-07,,,,6,29,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,5
FR_201301_006,,220100183,6,"HASSAN-BANGALORE VIA SHRAVANA-BELGOLA(NL),SWR - SWR,Karnataka",NL,,RAILWAYS,2013-01,1997-02,,295.0,412.91,944.55,,,573.49,,,2013-01,,,,0,0,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,6
FR_201301_007,,220100316,7,"MAHARAJGANJ-MASRAKH (NL) - NER - NER,Bihar",NL,,RAILWAYS,2013-01,2003-04,,218.19,218.19,218.19,,,165.44,,,2013-02,,,,0,0,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,7
FR_201301_008,,220100184,8,"DAUSA-GANGAPUR CITY(NL),NWR - NWR,Rajasthan",NL,,RAILWAYS,2013-01,1997-02,,151.84,410.08,410.08,,,209.11,,,2013-03,,,,0,0,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,8
FR_201301_009,,220100197,9,"KANPUR-KASGANJ- MATHURA(GC),NER - NER,Uttar Pradesh",GC,,RAILWAYS,2013-01,1997-03,,395.0,1062.36,1708.41,,,1399.73,,,2013-03,,,,0,0,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,9
FR_201301_010,,220100263,10,"QUILON-TIRUNELVELI-TENKASI- VIRUDHUNAGAR(SR)(GC) - SR,Multi State",GC,,RAILWAYS,2013-01,1998-03,,280.0,842.35,1029.0,,,785.32,,,2013-03,,,,0,6,,,,FR_JAn_2013_new.pdf,Sector-Wise analysis of projects,106,10
