observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200107_001,,,1,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2001-07,1991-01,1997-12,3447.06,6421.0,8949.0,5501.94,2528.0,1782.0,2007-01,,2006-07,-6.0,,,3,106,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,1
FR_200107_002,,,2,GOUTHAMKHANI OC (SCCL),SCCL,,COAL,2001-07,1995-06,,415.93,,158.24,-257.69,,115.22,2002-03,,2002-03,0.0,,,0,8,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,2
FR_200107_003,,,3,JHANJRA U.G. (ECL),ECL,,COAL,2001-07,1982-12,1995-08,184.55,403.96,403.96,219.41,0.0,367.31,1994-03,1998-03,2002-03,96.0,48.0,,0,1,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,3
FR_200107_004,,,4,PAREJ OC(CCL),CCL,,COAL,2001-07,1993-03,1993-03,116.19,,162.88,46.69,,113.76,1998-03,,2002-03,48.0,,,0,3,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,4
FR_200107_005,,,5,POOTKI BALIHARI UG,,,COAL,2001-07,1983-12,1997-04,199.87,199.87,182.34,-17.53,-17.53,169.09,1994-03,2000-03,2002-03,96.0,24.0,,0,2,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,5
FR_200107_006,,,6,MINE-1A(NLC),NLC,,COAL,2001-07,1998-02,,1032.81,,1107.93,75.12,,501.43,2003-03,,2002-04,-11.0,,,9,22,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,6
FR_200107_007,,,7,TPS-I EXP.(NLC),NLC,,COAL,2001-07,1996-02,,1590.58,,1438.09,-152.49,,789.24,2001-03,,2002-05,14.0,,,2,13,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,7
FR_200107_008,,,8,RAVINDERKHANI NEW TECH. UG (SCCL),SCCL,,COAL,2001-07,1995-12,,242.95,,242.94,-0.01,,21.18,2003-03,,2003-03,0.0,,,0,16,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,8
FR_200107_009,,,9,SATGRAM UG(ECL),ECL,,COAL,2001-07,1979-05,1990-09,26.37,148.26,118.87,92.5,-29.39,112.04,1989-03,1995-03,2003-03,168.0,96.0,,0,1,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,9
FR_200107_010,,,10,EXPANSION OF MINE- I(NLC),NLC,,COAL,2001-07,1992-03,,1336.93,,1652.22,315.29,,1284.86,1996-10,,2003-04,78.0,,,0,8,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,10
FR_200107_011,,,11,JHARKHAND OC(CCL),CCL,,COAL,2001-07,1998-10,,110.89,,110.89,0.0,,32.48,2004-03,,2004-03,0.0,,,0,4,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,11
FR_200107_012,,,12,NIGAHI OC EXPANSION(NCL),NCL,,COAL,2001-07,1997-07,,1846.49,,1846.49,0.0,,942.56,2004-03,,2004-03,0.0,,,0,13,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,12
FR_200107_013,,,13,DUDHICHUA (NCL),NCL,,COAL,2001-07,1992-08,2001-03,868.93,1281.39,1281.39,412.46,0.0,1060.07,1998-03,1998-03,2004-03,72.0,72.0,,0,5,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,5,13
FR_200107_014,,,14,NANGAL UREA EXPANSION (NFL),,,FERTILISERS,2001-07,1999-05,,135.13,,135.13,0.0,,128.24,2001-05,,2001-05,0.0,,,0,0,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,14
FR_200107_015,,,15,NAMRUP PLANT REVAMP(BVFC),BVFC,,FERTILISERS,2001-07,1997-10,,350.0,,509.4,159.4,,130.75,2001-05,,2002-02,9.0,,,0,0,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,15
FR_200107_016,,,16,HALDIA FETILIZER PROJECT (HFC),HFC,,FERTILISERS,2001-07,1971-11,1981-07,88.03,281.96,790.0,701.97,508.04,830.0,1976-10,1982-04,,,,,0,0,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,16
FR_200107_017,,,17,EXPN OF BAUXITE MINE & ALUMINA REFINERY(NALCO),NALCO,,MINES,2001-07,1996-06,,1664.6,,1664.6,0.0,,1168.21,2001-03,,2001-08,5.0,,2.0,3,17,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,17
FR_200107_018,,,18,EXPN. OF CAPACITY OF SMELTER & CPP (NALCO),NALCO,,MINES,2001-07,1998-02,,2061.98,,2061.98,0.0,,848.71,2002-05,,2002-05,0.0,,,0,24,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,18
FR_200107_019,,,19,10/11A BAILADILA DEPOSIT(NMDC),NMDC,,STEEL,2001-07,1995-08,,430.5,,482.77,52.27,,257.75,1999-08,,2002-07,35.0,,,0,32,,,,FR_JULY_2001.pdf,Sector-Wise analysis of projects,6,19
