observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201003_001,,020100041,1,KAIGA 3 and 4 UNITS (NPCIL) -,NPCIL,,ATOMIC ENERGY,2010-03,2001-05,,4213.0,,3282.0,,,2532.0,2009-10,2007-09,2010-06,,,,71,75,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,1
FR_201003_002,,020100040,2,KUDANKULAM APP (NPCIL) -,NPCIL,,ATOMIC ENERGY,2010-03,2001-12,,13171.0,,13171.0,,,12657.0,2008-12,,2011-03,,,,61,119,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,2
FR_201003_003,,N02000007,3,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL -,,,ATOMIC ENERGY,2010-03,2007-09,,1106.29,,1106.29,,,486.37,,,2011-04,,,,0,1,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,3
FR_201003_004,,020100044,4,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - Total","BHAVINI, 500 MWE",,ATOMIC ENERGY,2010-03,2003-09,,3492.0,21982.29,5677.0,,,2375.38,2010-09,,2011-09,,,,8,80,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,4
FR_201003_005,,N04000034,5,C/O NEW EXPANDABLE MODULAR INTEGRATED BLDG. RAIPUR -,,,CIVIL AVIATION,2010-03,2008-03,,129.65,135.72,129.65,,,35.92,2009-09,2010-03,2010-03,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,5
FR_201003_006,,N04000042,6,Construction of New Integrated Passenger Terminal -,,,CIVIL AVIATION,2010-03,2006-03,,129.38,,129.38,,,13.49,2009-04,2009-10,2010-03,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,6
FR_201003_007,,N04000051,7,Construction of New Integrated terminal building -,,,CIVIL AVIATION,2010-03,2007-04,,128.96,,128.96,,,20.9,2009-02,2009-06,2010-03,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,7
FR_201003_008,,N04000036,8,C/O EXPANDABLE MODULAR TER. BULD. AT DABH INDORE -,,,CIVIL AVIATION,2010-03,2008-02,,135.6,,113.02,,,44.76,,,2010-05,,,,0,1,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,8
FR_201003_009,,N04000017,9,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A -,,,CIVIL AVIATION,2010-03,2007-02,,290.92,,290.92,,,239.59,,,2010-06,,,,1,24,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,9
FR_201003_010,,N04000035,10,C/O EXPANDABLE MODULAR INTEGRATED TER. BULD. RAJA -,,,CIVIL AVIATION,2010-03,2008-03,,135.04,,135.04,,,69.43,2009-09,,2010-06,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,10
FR_201003_011,,N04000040,11,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA -,,,CIVIL AVIATION,2010-03,2008-01,,535.0,,535.0,,,143.97,2010-06,,2010-06,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,11
FR_201003_012,,N04000049,12,C/o new Integrated terminal Bldg. at Birsa Munda -,,,CIVIL AVIATION,2010-03,2009-01,,137.79,,137.79,,,7.5,2010-01,2010-02,2010-06,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,12
FR_201003_013,,N04000047,13,Construction of New Expandable Modular Integrated -,,,CIVIL AVIATION,2010-03,2008-03,,135.72,,135.72,,,41.96,2009-09,2009-12,2010-07,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,13
FR_201003_014,,N04000068,14,CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 -,,,CIVIL AVIATION,2010-03,2009-06,,213.35,,213.35,,,56.0,2010-09,,2010-11,,,,0,0,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,14
FR_201003_015,,N04000039,15,C/O INTEGERATED CARGO COMPLEX(PH-III) AT CHENNAI A -,PH-III,,CIVIL AVIATION,2010-03,2008-08,,144.94,,144.94,,,27.83,,,2010-12,,,,0,2,,,,FR_MARCH_2010.pdf,Sector-Wise analysis of projects,38,15
