observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200303_001,,,1,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2003-03,1991-01,1997-12,3447.06,6421.0,6760.0,3312.94,339.0,3014.0,2007-01,,2007-01,0.0,,,35,102,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,1
FR_200303_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2003-03,2001-05,,4213.0,,3282.0,-931.0,,611.0,2009-10,,2007-09,-25.0,,,10,75,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,2
FR_200303_003,,,3,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2003-03,2002-04,,3072.0,,3072.0,0.0,,229.0,2008-02,,2008-02,0.0,,,3,75,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,3
FR_200303_004,,,4,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2003-03,2001-12,,13171.0,,13171.0,0.0,,1439.0,2008-12,,2008-12,0.0,,,6,119,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,4
FR_200303_005,,,5,JHANJRA U.G. (ECL),ECL,,COAL,2003-03,1982-12,1995-08,184.55,403.96,386.44,201.89,-17.52,363.69,1994-03,1998-03,2003-03,108.0,60.0,,1,1,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,5
FR_200303_006,,,6,TPS-I EXP.(NLC),NLC,,COAL,2003-03,1996-02,2001-12,1590.58,1420.27,1423.47,-167.11,3.2,1161.59,2001-03,2002-05,2003-08,29.0,15.0,,12,16,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,6
FR_200303_007,,,7,POOTKI BALIHARI UG,,,COAL,2003-03,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,170.13,1994-03,2000-03,2003-09,114.0,42.0,,2,2,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,7
FR_200303_008,,,8,JHARKHAND OC(CCL),CCL,,COAL,2003-03,1998-10,,110.89,,110.89,0.0,,43.71,2004-03,,2004-03,0.0,,,5,6,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,8
FR_200303_009,,,9,NIGAHI OC EXPANSION(NCL),NCL,,COAL,2003-03,1997-07,,1846.49,,1846.49,0.0,,1131.68,2004-03,,2004-03,0.0,,,7,9,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,9
FR_200303_010,,,10,DUDHICHUA (NCL),NCL,,COAL,2003-03,1992-08,2001-03,868.93,1281.39,1281.39,412.46,0.0,1096.33,1998-03,2004-03,2004-03,72.0,0.0,,3,4,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,10
FR_200303_011,,,11,NAMRUP PLANT REVAMP(BVFC),BVFC,,FERTILISERS,2003-03,1997-10,2001-09,350.0,509.4,509.4,159.4,0.0,354.0,2001-05,2002-02,2003-12,31.0,22.0,,2,48,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,11
FR_200303_012,,,12,INSTALLATION OF 8th UNIT OF CAPTIVE POWER,,,MINES,2003-03,2001-02,,480.0,,,0.0,,202.99,2004-02,,,0.0,,,0,22,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,8,12
FR_200303_013,,,13,EXPN. OF CAPACITY OF SMELTER & CPP (NALCO),NALCO,,MINES,2003-03,1998-02,,2061.98,,2061.98,0.0,,1593.05,2002-05,,2004-04,23.0,,,23,24,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,13
FR_200303_014,,,14,LONG RAIL FACILITIES IN R&S MILL (SAIL),,,STEEL,2003-03,2002-09,,320.0,,320.0,0.0,,22.69,2004-08,,2004-08,0.0,,,2,2,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,14
FR_200303_015,,,15,PIG IRON PLANT (NMDC),NMDC,,STEEL,2003-03,1998-12,,298.68,,298.68,0.0,,17.43,2004-10,,2005-05,7.0,,,0,96,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,15
FR_200303_016,,,16,"NEW SOLVENT DEWAXING UNIT (IOC),DIGBOI",IOC,,PETROLEUM,2003-03,1999-02,,419.0,,432.0,13.0,,390.39,2002-11,,2003-04,5.0,,,15,15,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,16
FR_200303_017,,,17,HYDROTREATER AT DIGBOI REF. (IOCL),,,PETROLEUM,2003-03,1999-02,,343.0,,363.0,20.0,,326.4,2002-05,,2003-05,12.0,,,27,33,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,17
FR_200303_018,,,18,AUG. OF VIRANGAM KOYALI OF SM PIPELINE (IOC),IOC,,PETROLEUM,2003-03,2001-05,,329.05,,178.16,-150.89,,108.49,2003-03,,2003-05,2.0,,,2,4,,,,FR_MAR_2003.pdf,Sector-Wise analysis of projects,9,18
