observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200110_001,,,1,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2001-10,2001-12,,13171.0,,125.0,13046.0,,,2008-12,,2003-03,-69.0,,,0,0,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,1
FR_200110_002,,,2,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2001-10,1991-01,1997-12,3447.06,6421.0,7244.0,3796.94,823.0,1909.0,2007-01,,2006-07,-6.0,,,4,103,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,2
FR_200110_003,,,3,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2001-10,2001-05,,4213.0,,4213.0,0.0,,,2009-10,,2009-10,0.0,,,0,0,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,3
FR_200110_004,,,4,JHANJRA U.G. (ECL),ECL,,COAL,2001-10,1982-12,1995-08,184.55,403.96,403.96,219.41,0.0,369.29,1994-03,1998-03,2002-03,96.0,48.0,,0,1,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,4
FR_200110_005,,,5,GOUTHAMKHANI OC (SCCL),SCCL,,COAL,2001-10,1995-06,,415.93,,158.24,-257.69,,118.5,2002-03,,2002-03,0.0,,,0,1,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,5
FR_200110_006,,,6,PAREJ OC(CCL),CCL,,COAL,2001-10,1993-03,1993-03,116.19,,162.88,46.69,,123.94,1998-03,,2002-03,48.0,,,0,3,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,6
FR_200110_007,,,7,POOTKI BALIHARI UG,,,COAL,2001-10,1983-12,1997-04,199.87,199.87,182.34,-17.53,-17.53,168.47,1994-03,2000-03,2002-03,96.0,24.0,,0,2,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,7
FR_200110_008,,,8,TPS-I EXP.(NLC),NLC,,COAL,2001-10,1996-02,,1590.58,,1423.47,-167.11,,843.78,2001-03,,2002-10,19.0,,5.0,6,13,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,8
FR_200110_009,,,9,RAVINDERKHANI NEW TECH. UG (SCCL),SCCL,,COAL,2001-10,1995-12,,242.95,,242.94,-0.01,,20.51,2003-03,,2003-03,0.0,,,0,0,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,9
FR_200110_010,,,10,SATGRAM UG(ECL),ECL,,COAL,2001-10,1979-05,1990-09,26.37,148.26,118.87,92.5,-29.39,112.04,1989-03,1995-03,2003-03,168.0,96.0,,0,1,,,,FR_OCT_2001.pdf,Sector-Wise analysis of projects,6,10
