observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200408_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2004-08,2003-09,,343.26,,343.26,0.0,,,2006-06,,2006-06,0.0,,,0,0,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,1
FR_200408_002,,,2,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2004-08,1991-01,1997-12,3447.06,6421.0,6525.0,3077.94,104.0,4538.0,2007-01,,2007-01,0.0,,,67,104,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,2
FR_200408_003,,,3,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2004-08,2001-05,,4213.0,,3282.0,-931.0,,918.0,2009-10,,2007-09,-25.0,,,17,76,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,3
FR_200408_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2004-08,2002-04,,3072.0,,3072.0,0.0,,507.0,2008-02,,2008-02,0.0,,,17,75,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,4
FR_200408_005,,,5,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2004-08,2001-12,,13171.0,,13171.0,0.0,,3618.0,2008-12,,2008-12,0.0,,,19,119,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,5
FR_200408_006,,,6,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2004-08,2003-09,,3492.0,,3492.0,0.0,,51.19,2010-09,,2009-10,-11.0,,,0,0,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,6
FR_200408_007,,,7,POOTKI BALIHARI UG,,,COAL,2004-08,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,172.45,1994-03,2000-03,2007-03,156.0,84.0,,2,2,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,7
FR_200408_008,,,8,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2004-08,2003-10,,176.55,,194.21,17.66,,11.1,2008-03,,2007-03,-12.0,,,0,0,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,8
FR_200408_009,,,9,NAMRUP PLANT REVAMP(BVFC),BVFC,,FERTILISERS,2004-08,1997-10,2001-09,350.0,509.4,509.4,159.4,0.0,441.22,2001-05,2002-02,2004-10,41.0,32.0,1.0,44,103,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,9
FR_200408_010,,,10,EXPN. OF CAPACITY OF SMELTER & CPP (NALCO),NALCO,,MINES,2004-08,1998-02,,2061.98,,2061.98,0.0,,1593.05,2002-05,,2004-10,29.0,,2.0,23,24,,,,MonthlyFR_aug_2004.pdf,Sector-Wise analysis of projects,6,10
