observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200602_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2006-02,2003-09,,343.26,,343.26,0.0,,178.75,2006-06,,2006-03,-3.0,,,16,31,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,1
FR_200602_002,,,2,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2006-02,1991-01,1997-12,3447.06,6421.0,6525.0,3077.94,104.0,5446.0,2007-01,,2007-01,0.0,,,99,103,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,2
FR_200602_003,,,3,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2006-02,2001-05,,4213.0,,3282.0,-931.0,,1535.0,2009-10,,2007-09,-25.0,,,41,75,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,3
FR_200602_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2006-02,2002-04,,3072.0,,3072.0,0.0,,1112.0,2008-02,,2008-02,0.0,,,36,75,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,4
FR_200602_005,,,5,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2006-02,2001-12,,13171.0,,13171.0,0.0,,6727.0,2008-12,,2008-12,0.0,,,35,119,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,5
FR_200602_006,,,6,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2006-02,2003-09,,3492.0,,3492.0,0.0,,291.36,2010-09,,2010-09,0.0,,,5,76,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,6
FR_200602_007,,,7,DEVELOPMENT OF VISAKHAPATNAM AIRPORT.,,,ATOMIC ENERGY,2006-02,2002-12,,191.52,,191.52,0.0,,106.71,2005-12,,2006-12,12.0,,,11,27,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,7
FR_200602_008,,,8,POOTKI BALIHARI UG,,,COAL,2006-02,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,174.96,1994-03,2000-03,2007-03,156.0,84.0,,4,5,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,8
FR_200602_009,,,9,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2006-02,2003-10,,176.55,,176.55,0.0,,29.24,2008-03,,2008-03,0.0,,,0,2,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,9
FR_200602_010,,,10,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2006-02,2004-10,,2030.78,,2030.78,0.0,,39.61,2009-06,,2009-06,0.0,,,0,24,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,10
FR_200602_011,,,11,EXPANSION OF MINE-II,,,COAL,2006-02,2004-10,,2161.28,,2161.28,0.0,,89.99,2009-06,,2009-06,0.0,,,1,23,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,11
FR_200602_012,,,12,BARSINGSAR TPS OF 250 MW,,,COAL,2006-02,2004-12,,1114.18,,1114.18,0.0,,71.82,2009-06,,2009-06,0.0,,,0,26,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,12
FR_200602_013,,,13,BARSINGSAR LIGNITE MINE,,,COAL,2006-02,2004-12,,254.07,,254.07,0.0,,35.4,2009-06,,2009-06,0.0,,,1,21,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,13
FR_200602_014,,,14,DIPKA EXPANSION OCP,,,COAL,2006-02,2005-07,,1268.53,,,0.0,,6.61,2010-03,,,0.0,,,0,3,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,9,14
FR_200602_015,,,15,KULDA OCP,,,COAL,2006-02,2005-01,,302.96,,302.96,0.0,,22.3,2010-03,,2010-03,0.0,,,0,0,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,15
FR_200602_016,,,16,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2006-02,2005-07,,1667.55,,1667.55,0.0,,1.24,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,16
FR_200602_017,,,17,BHUBANESHWARI OCP (MAHANADI COALFIELDS LTD.) (10 MTY),,,COAL,2006-02,2005-01,,336.68,,336.68,0.0,,11.2,2012-03,,2012-03,0.0,,,0,0,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,17
FR_200602_018,,,18,TECHNOLOGICAL UP_GRADATION OF TROMBAY-V AMMONIA PLANT,,,FERTILISERS,2006-02,2003-10,2006-06,249.0,,249.0,0.0,,41.37,2006-06,,2006-06,0.0,,,28,56,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,18
FR_200602_019,,,19,SECOND PHASE EXPANSION OF NALCO,,,MINES,2006-02,2004-10,,4091.51,,4091.51,0.0,,,2008-12,,2009-01,1.0,,,0,0,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,19
FR_200602_020,,,20,TECHNOLOGY UPGRADATION OF BF-7 (SAIL),,,STEEL,2006-02,2005-01,,170.41,,170.41,0.0,,30.67,2006-01,,2006-08,7.0,,1.0,2,2,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,20
FR_200602_021,,,21,REBUILDING OFCOKE OVEN BATTERY NO. 1 (SAIL),,,STEEL,2006-02,2003-03,,112.39,,112.39,0.0,,57.51,2005-12,,2006-09,9.0,,,14,20,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,21
FR_200602_022,,,22,"COKE OVEN BATTERY No.4 RASHTRIYA ISPAT NIGAM LTD.,VIZAG",,,STEEL,2006-02,2003-12,,286.63,,286.83,0.2,,145.24,2006-12,,2006-12,0.0,,,0,21,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,22
FR_200602_023,,,23,BLOOM CASTER(SAIL),,,STEEL,2006-02,2004-05,,271.41,,271.41,0.0,,86.05,2006-05,,2006-12,7.0,,,3,4,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,23
FR_200602_024,,,24,REBUILDING OF COKE OVEN BATTERY No. 5 BOKARO (SAIL),,,STEEL,2006-02,2004-12,,198.84,,198.84,0.0,,42.37,2007-01,,2007-01,0.0,,,4,5,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,24
FR_200602_025,,,25,REBUILDING OF COKE OVEN BATTERY No.5,,,STEEL,2006-02,2004-12,,219.04,,219.04,0.0,,10.15,2007-01,,2007-06,5.0,,5.0,1,4,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,25
FR_200602_026,,,26,"INSTALLATION OF SLAB CASTLER, RH DEGASSER AND LADLE FURNACE",,,STEEL,2006-02,2005-07,,520.76,,520.76,0.0,,20.68,2007-09,,2007-09,0.0,,,0,0,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,26
FR_200602_027,,,27,EXPANSION OF RINL/VSP FROM 3 MTPY-6.3 MTPY,,,STEEL,2006-02,2005-10,,8692.0,,,0.0,,0.55,2009-10,,,0.0,,,0,0,,,,MonthlyFR_feb_2006.pdf,Sector-Wise analysis of projects,10,27
