observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200606_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2006-06,2003-09,,343.26,,343.26,0.0,,222.45,2006-06,,2006-09,3.0,,,18,36,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,1
FR_200606_002,,,2,"TARAPUR ATOMIC POWER PROJECT, TARAPUR,MAHARASHTRA (NPCIL)",NPCIL,,ATOMIC ENERGY,2006-06,1991-01,1997-12,3447.06,6421.0,6525.0,3077.94,104.0,5609.0,2007-01,,2006-09,-4.0,,,102,103,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,2
FR_200606_003,,,3,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2006-06,2001-05,,4213.0,,3282.0,-931.0,,1320.0,2009-10,,2007-09,-25.0,,,51,75,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,3
FR_200606_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2006-06,2002-04,,3072.0,,3072.0,0.0,,1680.0,2008-02,,2008-02,0.0,,,42,75,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,4
FR_200606_005,,,5,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2006-06,2001-12,,13171.0,,13171.0,0.0,,7634.0,2008-12,,2008-12,0.0,,,38,119,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,5
FR_200606_006,,,6,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2006-06,2003-09,,3492.0,,3492.0,0.0,,353.29,2010-09,,2010-09,0.0,,,5,76,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,6
FR_200606_007,,,7,DEVELOPMENT OF VISAKHAPATNAM AIRPORT.,,,ATOMIC ENERGY,2006-06,2002-12,,191.52,,191.52,0.0,,121.32,2005-12,,2006-12,12.0,,,11,27,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,7
FR_200606_008,,,8,POOTKI BALIHARI UG,,,COAL,2006-06,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,175.35,1994-03,2000-03,2007-03,156.0,84.0,,5,5,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,8
FR_200606_009,,,9,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2006-06,2003-10,,176.55,,176.55,0.0,,30.0,2008-03,,2008-03,0.0,,,1,2,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,9
FR_200606_010,,,10,RAJMAHAL EXPANSION OC PROJECT,,,COAL,2006-06,2006-01,,650.06,,650.06,0.0,,,2009-03,,2009-03,0.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,10
FR_200606_011,,,11,EXPANSION OF MINE-II,,,COAL,2006-06,2004-10,,2161.28,,2161.28,0.0,,159.72,2009-06,,2009-06,0.0,,,3,23,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,11
FR_200606_012,,,12,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2006-06,2004-10,,2030.78,,2030.78,0.0,,194.5,2009-06,,2009-06,0.0,,,2,24,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,12
FR_200606_013,,,13,BARSINGSAR TPS OF 250 MW,,,COAL,2006-06,2004-12,,1114.18,,1114.18,0.0,,100.95,2009-06,,2009-06,0.0,,,2,26,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,13
FR_200606_014,,,14,BARSINGSAR LIGNITE,,,COAL,2006-06,2004-12,,254.07,,,0.0,,36.6,2009-06,,,0.0,,,2,21,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,8,14
FR_200606_015,,,15,KULDA OCP,,,COAL,2006-06,2005-01,,302.96,,302.96,0.0,,23.04,2010-03,,2010-03,0.0,,,0,2,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,15
FR_200606_016,,,16,KRISHNASHILA,,,COAL,2006-06,2006-05,,789.88,,789.88,0.0,,32.63,2010-03,,2010-03,0.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,16
FR_200606_017,,,17,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2006-06,2005-07,,1667.55,,1667.55,0.0,,53.79,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,17
FR_200606_018,,,18,DIPKA EXPANSION OCP,,,COAL,2006-06,2005-07,,1268.53,,1268.53,0.0,,11.94,2010-03,,2010-03,0.0,,,0,3,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,18
FR_200606_019,,,19,KUSMUNDA EXPANSION OCP,,,COAL,2006-06,2006-06,,737.65,,737.65,0.0,,,2011-03,,2011-03,0.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,19
FR_200606_020,,,20,ASHOK OC EXPANSION,,,COAL,2006-06,2006-04,,471.66,,471.66,0.0,,,2011-03,,2011-03,0.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,20
FR_200606_021,,,21,BLOCK-B OCP NCL (3.5 MTY),,,COAL,2006-06,2006-07,,746.04,,746.04,0.0,,,2012-03,,2011-06,-9.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,21
FR_200606_022,,,22,BHUBANESHWARI OCP (MAHANADI COALFIELDS LTD.) (10 MTY),,,COAL,2006-06,2005-01,,336.68,,336.68,0.0,,11.2,2012-03,,2012-03,0.0,,,0,2,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,22
FR_200606_023,,,23,AMLOHRI EXPANSION PROJECT 4 TO 10 (6 MTY),,,COAL,2006-06,2006-05,,1352.04,,1352.04,0.0,,,2014-03,,2014-03,0.0,,,0,0,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,23
FR_200606_024,,,24,TECHNOLOGICAL UP_GRADATION OF TROMBAY-V AMMONIA PLANT,,,FERTILISERS,2006-06,2003-10,2006-06,249.0,,249.0,0.0,,192.72,2006-06,,2006-06,0.0,,,28,56,,,,MonthlyFR_june_2006.pdf,Sector-Wise analysis of projects,9,24
