observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200703_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2007-03,2003-09,,343.26,,343.26,0.0,,260.46,2006-06,,2007-06,12.0,,3.0,22,36,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,1
FR_200703_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2007-03,2001-05,,4213.0,,3282.0,-931.0,,1921.0,2009-10,,2007-09,-25.0,,,59,75,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,2
FR_200703_003,,,3,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2007-03,2002-04,,3072.0,,3072.0,0.0,,1591.0,2008-02,,2008-02,0.0,,,49,75,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,3
FR_200703_004,,,4,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2007-03,2001-12,,13171.0,,13171.0,0.0,,8799.0,2008-12,,2008-12,0.0,,,44,119,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,4
FR_200703_005,,,5,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2007-03,2003-09,,3492.0,,3492.0,0.0,,543.88,2010-09,,2010-09,0.0,,,6,76,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,5
FR_200703_006,,,6,DEVELOPMENT OF VISAKHAPATNAM AIRPORT.,,,ATOMIC ENERGY,2007-03,2002-12,,191.52,,191.52,0.0,,158.0,2005-12,,2007-03,15.0,,,11,27,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,6
FR_200703_007,,,7,POOTKI BALIHARI UG,,,COAL,2007-03,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,178.08,1994-03,2000-03,2007-09,162.0,90.0,6.0,5,5,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,7
FR_200703_008,,,8,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2007-03,2003-10,,176.55,,176.55,0.0,,59.62,2008-03,,2008-03,0.0,,,3,4,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,8
FR_200703_009,,,9,RAJMAHAL EXPANSION OC PROJECT,,,COAL,2007-03,2006-01,,650.06,,650.06,0.0,,,2009-03,,2009-03,0.0,,,0,0,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,9
FR_200703_010,,,10,EXPANSION OF MINE-II,,,COAL,2007-03,2004-10,,2161.28,,2161.28,0.0,,692.58,2009-06,,2009-06,0.0,,,12,23,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,10
FR_200703_011,,,11,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2007-03,2004-10,,2030.78,,2030.78,0.0,,420.06,2009-06,,2009-06,0.0,,,6,24,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,11
FR_200703_012,,,12,BARSINGSAR TPS OF 250 MW,,,COAL,2007-03,2004-12,,1114.18,,1114.18,0.0,,288.1,2009-06,,2009-06,0.0,,,10,26,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,12
FR_200703_013,,,13,BARSINGSAR LIGNITE MINE,,,COAL,2007-03,2004-12,,254.07,,254.07,0.0,,76.8,2009-06,,2009-06,0.0,,,8,21,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,13
FR_200703_014,,,14,JHANJRA LONGWAL UG PHASE-II,,,COAL,2007-03,2006-11,,287.18,,,0.0,,,2009-11,,,0.0,,,0,0,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,11,14
FR_200703_015,,,15,KULDA OCP,,,COAL,2007-03,2005-01,,302.96,,302.96,0.0,,42.43,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,12,15
FR_200703_016,,,16,KRISHNASHILA,,,COAL,2007-03,2006-05,,789.88,,789.88,0.0,,33.3,2010-03,,2010-03,0.0,,,0,1,,,,MonthlyFR_mar_2007.pdf,Sector-Wise analysis of projects,12,16
