observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200805_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2008-05,2003-09,,343.26,,343.26,0.0,,312.1,2006-06,,2008-07,25.0,,2.0,35,36,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,1
FR_200805_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2008-05,2001-05,,4213.0,,3282.0,-931.0,,2221.0,2009-10,,2008-09,-13.0,,,71,75,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,2
FR_200805_003,,,3,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2008-05,2002-04,,3072.0,,3072.0,0.0,,1878.0,2008-02,,2009-03,13.0,,,54,75,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,3
FR_200805_004,,,4,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2008-05,2001-12,,13171.0,,13171.0,0.0,,10557.0,2008-12,,2010-03,15.0,,,49,119,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,4
FR_200805_005,,,5,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2008-05,2003-09,,3492.0,,3492.0,0.0,,1039.56,2010-09,,2010-09,0.0,,,10,76,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,5
FR_200805_006,,,6,Construction of New Internation Terminal Building,,,ATOMIC ENERGY,2008-05,2006-10,,245.58,,245.58,0.0,,66.56,2008-12,,2008-12,0.0,,,13,28,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,6
FR_200805_007,,,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING,,,ATOMIC ENERGY,2008-05,2007-02,,290.92,,290.92,0.0,,47.35,2009-02,,2009-02,0.0,,,8,24,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,7
FR_200805_008,,,8,EXPANSION OF MINE-II,,,COAL,2008-05,2004-10,,2161.28,,2295.93,134.65,,1220.23,2009-06,,2009-06,0.0,,,12,23,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,8
FR_200805_009,,,9,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2008-05,2004-10,,2030.78,,2453.57,422.79,,1265.33,2009-06,,2009-06,0.0,,,6,24,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,9
FR_200805_010,,,10,BARSINGSAR TPS OF 250 MW,,,COAL,2008-05,2004-12,,1114.18,,1626.09,511.91,,801.09,2009-06,,2009-06,0.0,,,10,26,,,,MonthlyFR_may_2008.pdf,Sector-Wise analysis of projects,8,10
