observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200711_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2007-11,2003-09,,343.26,,343.26,0.0,,284.84,2006-06,,2008-03,21.0,,,35,36,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,1
FR_200711_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2007-11,2001-05,,4213.0,,3282.0,-931.0,,2126.0,2009-10,,2008-03,-19.0,,,66,75,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,2
FR_200711_003,,,3,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2007-11,2001-12,,13171.0,,13171.0,0.0,,9861.0,2008-12,,2008-12,0.0,,,48,119,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,3
FR_200711_004,,,4,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2007-11,2002-04,,3072.0,,3072.0,0.0,,1773.0,2008-02,,2008-12,10.0,,,52,75,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,4
FR_200711_005,,,5,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2007-11,2003-09,,3492.0,,3492.0,0.0,,793.25,2010-09,,2010-09,0.0,,,9,76,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,5
FR_200711_006,,,6,Construction of New Internation Terminal Building,,,ATOMIC ENERGY,2007-11,2006-10,,245.58,,245.58,0.0,,30.13,2008-12,,2008-12,0.0,,,10,28,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,6
FR_200711_007,,,7,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BUILDING,,,ATOMIC ENERGY,2007-11,2007-02,,290.92,,290.92,0.0,,22.41,2009-02,,2009-02,0.0,,,8,24,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,7
FR_200711_008,,,8,POOTKI BALIHARI UG,,,COAL,2007-11,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,172.02,1994-03,2000-03,2008-03,168.0,96.0,6.0,5,5,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,8
FR_200711_009,,,9,RAJMAHAL EXPANSION OC PROJECT,,,COAL,2007-11,2006-01,,650.06,,650.06,0.0,,,2009-03,,2009-03,0.0,,,0,0,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,9
FR_200711_010,,,10,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2007-11,2004-10,,2030.78,,2453.57,422.79,,780.62,2009-06,,2009-06,0.0,,,6,24,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,10
FR_200711_011,,,11,EXPANSION OF MINE-II,,,COAL,2007-11,2004-10,,2161.28,,2295.93,134.65,,1075.13,2009-06,,2009-06,0.0,,,12,23,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,11
FR_200711_012,,,12,BARSINGSAR TPS OF 250 MW,,,COAL,2007-11,2004-12,,1114.18,,1626.09,511.91,,564.03,2009-06,,2009-06,0.0,,,10,26,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,12
FR_200711_013,,,13,BARSINGSAR LIGNITE MINE,,,COAL,2007-11,2004-12,,254.07,,254.6,0.53,,125.89,2009-06,,2009-06,0.0,,,8,21,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,13
FR_200711_014,,,14,KRISHNASHILA,,,COAL,2007-11,2006-05,,789.88,,,0.0,,76.57,2010-03,,,0.0,,,0,3,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,10,14
FR_200711_015,,,15,KULDA OCP,,,COAL,2007-11,2005-01,,302.96,,302.96,0.0,,42.5,2010-03,,2010-03,0.0,,,0,4,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,15
FR_200711_016,,,16,JHANJRA LONGWAL UG PHASE-II,,,COAL,2007-11,2006-11,,287.18,,287.17,-0.01,,,2009-11,,2010-03,4.0,,,0,1,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,16
FR_200711_017,,,17,DIPKA EXPANSION OCP,,,COAL,2007-11,2005-07,,1268.53,,1268.53,0.0,,479.08,2010-03,,2010-03,0.0,,,0,11,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,17
FR_200711_018,,,18,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2007-11,2005-07,,1667.55,,1667.55,0.0,,490.39,2010-03,,2010-03,0.0,,,2,12,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,18
FR_200711_019,,,19,BHARATPUR OC EXPANSION PHASE-III PROJECT,,,COAL,2007-11,2007-02,,131.39,,131.39,0.0,,,2010-03,,2010-03,0.0,,,0,0,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,19
FR_200711_020,,,20,KUSMUNDA EXPANSION OCP,,,COAL,2007-11,2006-06,,737.65,,737.65,0.0,,440.8,2011-03,,2011-03,0.0,,,0,4,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,20
FR_200711_021,,,21,ASHOK OC EXPANSION,,,COAL,2007-11,2006-04,,471.66,,471.66,0.0,,91.54,2011-03,,2011-03,0.0,,,0,2,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,21
FR_200711_022,,,22,BLOCK-B OCP NCL (3.5 MTY),,,COAL,2007-11,2006-07,,746.04,,746.04,0.0,,25.67,2012-03,,2012-03,0.0,,,0,4,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,22
FR_200711_023,,,23,BHUBANESHWARI OCP (MAHANADI COALFIELDS LTD.) (10 MTY),,,COAL,2007-11,2005-01,,336.68,,336.68,0.0,,28.9,2012-03,,2012-03,0.0,,,0,5,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,23
FR_200711_024,,,24,"NIGAHI OC EXPANSION PROJECT 10 MTY TO 15 MTY, SINGRAULI",,,COAL,2007-11,2007-10,,529.4,,259.4,-270.0,,,2012-03,,2012-03,0.0,,,0,0,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,24
FR_200711_025,,,25,SHANTIKHANI LONGWALL PROJECTS,,,COAL,2007-11,2006-10,,249.03,,249.03,0.0,,11.14,2012-03,,2012-03,0.0,,,1,4,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,25
FR_200711_026,,,26,MAGADH OC (CCL),CCL,,COAL,2007-11,2006-07,,469.78,,469.78,0.0,,2.61,2012-07,,2012-07,0.0,,,0,3,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,26
FR_200711_027,,,27,JALLARAM SHAFT PROJECT UG,,,COAL,2007-11,2007-09,,467.78,,467.78,0.0,,9.64,2013-03,,2013-03,0.0,,,0,7,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,27
FR_200711_028,,,28,ADRIYALA SHAFT PROJECT,,,COAL,2007-11,2006-09,,212.34,,212.34,0.0,,8.08,2013-03,,2013-03,0.0,,,2,11,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,28
FR_200711_029,,,29,BINA EXTENSION OC PROJECT,,,COAL,2007-11,2006-11,,168.97,,168.97,0.0,,2.73,2014-03,,2014-03,0.0,,,1,1,,,,MonthlyFR_nov_2007.pdf,Sector-Wise analysis of projects,11,29
