observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_200610_001,,,1,NEW URANIUM ORE PROCESSING MILL,,,ATOMIC ENERGY,2006-10,2003-09,,343.26,,343.26,0.0,,240.6,2006-06,,2006-12,6.0,,,21,36,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,1
FR_200610_002,,,2,"KAIGA ATOM IC POWER PROJECT 3 & 4 UNITS, KAIGA",,,ATOMIC ENERGY,2006-10,2001-05,,4213.0,,3282.0,-931.0,,1791.0,2009-10,,2007-09,-25.0,,,52,75,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,2
FR_200610_003,,,3,"RAJASTHAN ATOMIC POWER PROJECT 5 & 6, RAWAT BHATA",,,ATOMIC ENERGY,2006-10,2002-04,,3072.0,,3072.0,0.0,,1450.0,2008-02,,2008-02,0.0,,,44,75,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,3
FR_200610_004,,,4,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2006-10,2001-12,,13171.0,,13171.0,0.0,,8111.0,2008-12,,2008-12,0.0,,,40,119,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,4
FR_200610_005,,,5,PROTOTYPE FAST BREEDER REACTOR,,,ATOMIC ENERGY,2006-10,2003-09,,3492.0,,3492.0,0.0,,390.31,2010-09,,2010-09,0.0,,,5,76,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,5
FR_200610_006,,,6,DEVELOPMENT OF VISAKHAPATNAM AIRPORT.,,,ATOMIC ENERGY,2006-10,2002-12,,191.52,,191.52,0.0,,134.57,2005-12,,2006-12,12.0,,,11,27,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,6
FR_200610_007,,,7,POOTKI BALIHARI UG,,,COAL,2006-10,1983-12,1997-04,199.87,199.87,182.6,-17.27,-17.27,176.52,1994-03,2000-03,2007-03,156.0,84.0,,5,5,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,7
FR_200610_008,,,8,BASUNDHRA(WEST)O.C.P (MCL) (2.40 MTY),,,COAL,2006-10,2003-10,,176.55,,176.55,0.0,,44.3,2008-03,,2008-03,0.0,,,1,2,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,8
FR_200610_009,,,9,RAJMAHAL EXPANSION OC PROJECT,,,COAL,2006-10,2006-01,,650.06,,650.06,0.0,,,2009-03,,2009-03,0.0,,,0,0,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,9
FR_200610_010,,,10,EXPANSION OF MINE-II,,,COAL,2006-10,2004-10,,2161.28,,2161.28,0.0,,381.5,2009-06,,2009-06,0.0,,,3,23,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,10
FR_200610_011,,,11,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2006-10,2004-10,,2030.78,,2030.78,0.0,,257.92,2009-06,,2009-06,0.0,,,2,24,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,11
FR_200610_012,,,12,BARSINGSAR TPS OF 250 MW,,,COAL,2006-10,2004-12,,1114.18,,1114.18,0.0,,150.28,2009-06,,2009-06,0.0,,,2,26,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,12
FR_200610_013,,,13,BARSINGSAR LIGNITE MINE,,,COAL,2006-10,2004-12,,254.07,,254.07,0.0,,47.8,2009-06,,2009-06,0.0,,,2,21,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,7,13
FR_200610_014,,,14,KULDA OCP,,,COAL,2006-10,2005-01,,302.96,,302.96,0.0,,23.06,2010-03,,2010-03,0.0,,,0,2,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,14
FR_200610_015,,,15,KRISHNASHILA,,,COAL,2006-10,2006-05,,789.88,,789.88,0.0,,32.6,2010-03,,2010-03,0.0,,,0,1,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,15
FR_200610_016,,,16,DIPKA EXPANSION OCP,,,COAL,2006-10,2005-07,,1268.53,,1268.53,0.0,,416.01,2010-03,,2010-03,0.0,,,0,3,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,16
FR_200610_017,,,17,"GEVRA EXPANSION OCP, 25MTY (SECL)",,,COAL,2006-10,2005-07,,1667.55,,1667.55,0.0,,557.42,2010-03,,2010-03,0.0,,,0,6,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,17
FR_200610_018,,,18,KUSMUNDA EXPANSION OCP,,,COAL,2006-10,2006-06,,737.65,,737.65,0.0,,445.83,2011-03,,2011-03,0.0,,,0,2,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,18
FR_200610_019,,,19,ASHOK OC EXPANSION,,,COAL,2006-10,2006-04,,471.66,,471.66,0.0,,69.05,2011-03,,2011-03,0.0,,,0,0,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,19
FR_200610_020,,,20,BLOCK-B OCP NCL (3.5 MTY),,,COAL,2006-10,2006-07,,746.04,,746.04,0.0,,46.97,2012-03,,2011-06,-9.0,,,0,1,,,,MonthlyFR_oct_2006.pdf,Sector-Wise analysis of projects,8,20
