observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201004_001,,020100041,1,KAIGA 3 and 4 UNITS (NPCIL) -,NPCIL,,ATOMIC ENERGY,2010-04,2001-05,,4213.0,,3282.0,,,2531.0,2009-10,2007-09,2010-07,,,,71,75,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,1
FR_201004_002,,N02000007,2,URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL -,,,ATOMIC ENERGY,2010-04,2007-09,,1106.29,,1106.29,,,486.37,,,2011-04,,,,0,1,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,2
FR_201004_003,,020100040,3,KUDANKULAM APP (NPCIL) -,NPCIL,,ATOMIC ENERGY,2010-04,2001-12,,13171.0,,13171.0,,,12977.0,2008-12,,2011-06,,,,99,119,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,3
FR_201004_004,,020100044,4,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - Total","BHAVINI, 500 MWE",,ATOMIC ENERGY,2010-04,2003-09,,3492.0,21982.29,5677.0,,,2415.88,2010-09,,2011-09,,,,8,80,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,4
FR_201004_005,,N04000017,5,CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A -,,,CIVIL AVIATION,2010-04,2007-02,,290.92,,290.92,,,239.59,,,2010-06,,,,1,24,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,5
FR_201004_006,,N04000040,6,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA -,,,CIVIL AVIATION,2010-04,2008-01,,535.0,,535.0,,,143.97,2010-06,,2010-06,,,,0,0,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,6
FR_201004_007,,N04000068,7,CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 -,,,CIVIL AVIATION,2010-04,2009-06,,213.35,,213.35,,,112.0,2010-09,,2010-11,,,,0,0,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,7
FR_201004_008,,N04000038,8,D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1) -,K1,,CIVIL AVIATION,2010-04,2008-08,,1273.0,1212.0,1273.0,,,255.24,2011-01,,2011-01,,,,0,0,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,8
FR_201004_009,,N04000056,9,Extension of Secondary Runway(K2) -,K2,,CIVIL AVIATION,2010-04,2008-08,,230.0,,230.0,,,188.12,2011-01,,2011-01,,,,0,0,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,9
FR_201004_010,,N04000037,10,C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT -,,,CIVIL AVIATION,2010-04,2008-08,,1942.51,,1942.51,,,579.26,2011-05,,2011-08,,,,0,0,,,,fr_Apr_2010.pdf,Sector-Wise analysis of projects,27,10
