observation_id,project_id,project_code,serial_no,project_name,agency,state,sector,report_date,approval_date,approval_date_revised,original_cost_crore,revised_cost_crore,anticipated_cost_crore,cost_overrun_original_crore,cost_overrun_revised_crore,cumulative_expenditure_crore,original_completion_date,revised_completion_date,anticipated_completion_date,time_overrun_original_months,time_overrun_revised_months,additional_delay_months,milestones_achieved,milestones_total,physical_progress_pct,delay_reason,status,source.report,source.table,source.page,source.serial_no
FR_201008_001,,020100041,1,"KAIGA 3 and 4 UNITS (NPCIL) - NPCIL,Karnataka",NPCIL,,ATOMIC ENERGY,2010-08,2001-05,,4213.0,,3282.0,,,2564.0,2009-10,2007-09,2010-08,,,,71,75,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,1
FR_201008_002,,N02000007,2,"URANIUM ORE MINE & PROCESSING PLANT AT TUMMALAPALL - UCIL,Andhra Pradesh",,,ATOMIC ENERGY,2010-08,2007-09,,1106.29,,1106.29,,,732.55,,,2011-04,,,,0,1,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,2
FR_201008_003,,020100040,3,"KUDANKULAM APP (NPCIL) - NPCIL,Tamil Nadu",NPCIL,,ATOMIC ENERGY,2010-08,2001-12,,13171.0,,13171.0,,,13113.0,2008-12,,2011-06,,,,61,119,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,3
FR_201008_004,,020100044,4,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - BHAVNI,Tamil Nadu Total","BHAVINI, 500 MWE",,ATOMIC ENERGY,2010-08,2003-09,,3492.0,21982.29,5677.0,,,2592.29,2010-09,,2011-09,,,,8,80,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,4
FR_201008_005,,N04000068,5,"CONSTRACTION OF RCC/PRE STRESSD CONCRETE BRIDGE K3 - AAI,Tamil Nadu",,,CIVIL AVIATION,2010-08,2009-06,,213.35,,213.35,,,112.0,2010-09,,2010-11,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,5
FR_201008_006,,N04000040,6,"D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT CHENNA - AAI,Tamil Nadu",,,CIVIL AVIATION,2010-08,2008-01,,535.0,,535.0,,,331.8,2010-06,,2010-12,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,6
FR_201008_007,,N04000038,7,"D/O KAMARAJ DOMESTIC TER-PH-II & EXP. ANNA INT. TE(K1) - AAI,Tamil Nadu",K1,,CIVIL AVIATION,2010-08,2008-08,,1273.0,,1273.0,,,418.29,2011-01,,2011-01,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,7
FR_201008_008,,N04000056,8,"Extension of Secondary Runway(K2) - AAI,Tamil Nadu",K2,,CIVIL AVIATION,2010-08,2008-08,,230.0,,230.0,,,188.12,2011-01,,2011-01,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,8
FR_201008_009,,N04000037,9,"C/O INTEGRATED PASSENGER TER. BULD. NSCBI AIRPORT - AAI,West Bengal",,,CIVIL AVIATION,2010-08,2008-08,,1942.51,,1942.51,,,818.87,2011-05,,2011-08,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,9
FR_201008_010,,N04000069,10,"Construction of New International Terminal Building - AAI,Goa",,,CIVIL AVIATION,2010-08,2010-05,,204.73,,204.73,,,5.97,2012-05,,2012-05,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,10
FR_201008_011,,N04000017,11,"CONSTRUCTION OF NEW INTERNATIONAL TERMINAL BLDG. A - AAI,Gujarat",,,CIVIL AVIATION,2010-08,2007-02,,290.92,,290.92,,,177.2,,,,,,,1,24,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,11
FR_201008_012,,N04000050,12,"C/o new Airport at Pakyong(Sikkim) Airport - AAI,Sikkim",Sikkim,,CIVIL AVIATION,2010-08,2009-01,,264.29,,264.29,,,10.02,2011-01,,,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,12
FR_201008_013,,N04000065,13,"GAGAN PROJECT - AAI,Multi State Total",,,CIVIL AVIATION,2010-08,2008-09,,393.6,5347.4,393.6,,,160.29,2013-06,,,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,13
FR_201008_014,,060100089,14,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2010-08,2004-12,,1114.18,1626.09,1626.09,,,1471.94,2009-06,,2010-10,,,,59,26,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,14
FR_201008_015,,060100090,15,"BARSINGSAR MINE 2.10 MTPA LIGNITE (NLC) - NLC,Rajasthan",NLC,,COAL,2010-08,2004-12,,254.07,1687.78,1687.78,,,1687.78,2009-06,,2010-10,,,,36,21,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,15
FR_201008_016,,N06000044,16,"BALRAM OCP EXTENSION - MCL,Orissa",,,COAL,2010-08,2007-12,,172.08,26.0,172.08,,,484.92,2009-03,,2011-03,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,28,16
FR_201008_017,,060100087,17,"TPS-II EXPANSION (1470MW TO 1970MW) (NLC) - NLC,Tamil Nadu",NLC,,COAL,2010-08,2004-10,,2030.78,2453.57,2453.57,,,2011.28,2009-06,,2011-06,,,,41,24,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,29,17
FR_201008_018,,060100092,18,"KULDA OCP (MAHANADI COALFIELDS LTD.) - MCL,Orissa",MAHANADI COALFIELDS LTD.,,COAL,2010-08,2005-01,,302.96,,302.96,,,60.29,2010-03,,2012-03,,,,0,4,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,29,18
FR_201008_019,,060100093,19,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2010-08,2005-07,,1667.55,1667.55,1667.55,,,1011.42,2010-03,,2012-03,,,,3,7,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,29,19
FR_201008_020,,060100096,20,"ASHOK EXPN.OCP -CCL (5 MTY) - CCL,Jharkhandd",5 MTY,,COAL,2010-08,2006-04,,471.66,341.63,341.63,,,101.73,2011-03,,2012-03,,,,0,0,,,,fr_Aug_2010.pdf,Sector-Wise analysis of projects,29,20
