project_id,canonical_project_code,canonical_project_name,canonical_agency,canonical_state,canonical_sector,first_report_date,last_report_date,observation_count,identity_confidence
PRJ_CODE_020100040,020100040,KUDANKULAM APP (NPCIL),NPCIL,,ATOMIC ENERGY,2001-08,2012-11,131,HIGH
PRJ_CODE_020100041,020100041,KAIGA 3 and 4 UNITS (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-03,2010-12,17,HIGH
PRJ_CODE_020100042,020100042,RAJASTHAN ATOMIC POWER PROJECT 5 and 6 (NPCIL) -,NPCIL,,ATOMIC ENERGY,2009-03,2010-02,7,HIGH
PRJ_CODE_020100044,020100044,PROTOTYPE FAST BREEDER REACTOR,"BHAVINI, 500 MWE",,ATOMIC ENERGY,2003-11,2012-11,104,HIGH
PRJ_CODE_060100087,060100087,TPS-II EXPANSION (1470MW TO 1970MW) (NLC),NLC,,COAL,2004-12,2012-11,91,HIGH
PRJ_CODE_060100088,060100088,EXPANSION OF MINE-II,NLC,,COAL,2004-12,2010-02,61,HIGH
PRJ_CODE_060100089,060100089,"BARSINGSAR TPS (2X125MW) (NLC) - NLC,Rajasthan",NLC,,COAL,2009-03,2012-01,29,HIGH
PRJ_CODE_060100090,060100090,BARSINGSAR LIGNITE MINE,NLC,,COAL,2005-02,2010-08,65,HIGH
PRJ_CODE_060100092,060100092,KULDA OCP,MAHANADI COALFIELDS LTD.,,COAL,2005-03,2012-11,88,HIGH
PRJ_CODE_060100093,060100093,"GEVRA EXPANSION OCP (SECL) (25 MTY) - SECL,Chhatisgarh",25 MTY,,COAL,2009-03,2012-11,37,HIGH
PRJ_CODE_060100094,060100094,DIPKA EXPANSION OCP,20 MTY,,COAL,2005-09,2012-11,83,HIGH
PRJ_CODE_060100096,060100096,"ASHOK EXPN.OCP -CCL (10 MTY) - CCL,Jharkhandd",5 MTY,,COAL,2009-03,2012-11,37,HIGH
PRJ_CODE_100100054,100100054,SECOND PHASE EXPANSION OF NALCO,,,MINES,2004-12,2011-11,81,HIGH
PRJ_CODE_120100061,120100061,COKE OVEN BATTERY NO. 4(PHASE- 1) (RINL) - Total,RINL,,STEEL,2009-03,2009-03,1,HIGH
PRJ_CODE_120100067,120100067,EXPANSION OF RINL/VSP FROM 3 MTPY-6.3 MTPY OF LIQUID STEEL,,,STEEL,2005-11,2012-11,81,HIGH
PRJ_CODE_120100069,120100069,COAL DUST INJECTION IN BF-2 and 3 -,,,STEEL,2009-03,2010-03,8,HIGH
PRJ_CODE_160100168,160100168,C2-C3 & LPG RECOVERY FROM LNG AT DAHEJ,ONGC,,PETROLEUM,2004-01,2011-06,88,HIGH
PRJ_CODE_160100215,160100215,"IOR LAKWA - LAKHMANI (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100216,160100216,"IOR GELEKI (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100217,160100217,"IOR, RUDRASAGAR (ONGCL) - ONGC,Assam",ONGCL,,PETROLEUM,2009-03,2012-11,37,HIGH
PRJ_CODE_160100231,160100231,"INTEGRATED DEV OF G1 and GS-15 (ONGCL) - ONGC,Multi State",ONGCL,,PETROLEUM,2004-04,2012-11,38,HIGH
PRJ_CODE_160100232,160100232,DEVELOPMENT OF BASSEIN EAST (ONGCL) -,ONGCL,,PETROLEUM,2003-11,2009-09,4,HIGH
PRJ_CODE_160100236,160100236,GREEN FUELS & EMISSION CONTROL PROJECT AT MUMBAI REFINERY,HPCL,,PETROLEUM,2003-10,2009-05,66,HIGH
PRJ_CODE_160100281,160100281,CLEAN FUELS PROJECT AT VISAKH REFINERY(HPCL) -,HPCL,,PETROLEUM,2008-03,2010-05,11,HIGH
PRJ_CODE_160100289,160100289,INST. OF FACILITIES FOR IMPROVEMENT IN DIESEL QUALITY (IOCL),IOCL,,PETROLEUM,2005-12,2010-10,58,HIGH
PRJ_CODE_160100291,160100291,AUGMENTATION OF MUNDRA- PANIPAT CRUDE OIL PIPLINE -,,,PETROLEUM,2009-03,2009-03,1,HIGH
PRJ_CODE_160100292,160100292,PANIPAT-NAPHTA CRACKER PROJECT,,,PETROLEUM,2006-05,2010-08,51,HIGH
PRJ_CODE_180100078,180100078,LOKTAK D/S HEP(NHPC) - Total Health & Family Welfare,NHPC,,POWER,2009-03,2010-12,17,HIGH
PRJ_CODE_180100165,180100165,"TUIRIAL HE PROJECT(NEEPCO) - NEEPCO,Mizoram",NEEPCO,,POWER,2009-03,2012-04,31,HIGH
