column,dtype,missing_pct
project_id,object,0.0
report_date,object,0.0
observation_id,object,0.0
project_code,object,62.5919
project_name,object,0.0
original_cost_crore,float64,0.0
anticipated_cost_crore,float64,0.0
cumulative_expenditure_crore,float64,6.9176
derived_observation_number,int64,0.0
derived_months_since_first_report,int64,0.0
derived_project_report_gap_months,float64,3.1759
derived_report_year,int64,0.0
derived_report_month,int64,0.0
derived_project_age_months,int64,0.0
derived_months_to_original_completion,float64,16.036
derived_months_to_anticipated_completion,float64,17.1714
derived_expenditure_to_original_cost_pct,float64,6.9231
derived_expenditure_to_anticipated_cost_pct,float64,6.9176
derived_anticipated_cost_increase_pct,float64,0.0055
derived_cost_increase_crore,float64,0.0
derived_milestone_progress_pct,float64,79.8536
derived_milestone_gap,int64,0.0
derived_milestone_inconsistency,int64,0.0
derived_has_cumulative_expenditure_crore,int64,0.0
derived_has_anticipated_cost_crore,int64,0.0
derived_has_original_completion_date,int64,0.0
derived_has_anticipated_completion_date,int64,0.0
derived_has_time_overrun_original_months,int64,0.0
derived_has_additional_delay_months,int64,0.0
derived_delta_anticipated_cost_crore,float64,4.0661
derived_delta_cumulative_expenditure_crore,float64,10.5543
derived_delta_time_overrun_original_months,float64,55.7831
derived_delta_derived_milestone_progress_pct,float64,80.8471
derived_delta_derived_months_to_anticipated_completion,float64,21.4495
derived_anticipated_cost_change_pct,float64,4.0661
derived_expenditure_change_pct,float64,10.5653
derived_3obs_cost_change_mean,float64,7.994
derived_3obs_expenditure_change_mean,float64,13.579
derived_3obs_time_overrun_delta_mean,float64,57.007
derived_3obs_milestone_progress_delta_mean,float64,81.6913
derived_reported_time_overrun_flag,int64,0.0
derived_cost_escalation_flag_10pct,int64,0.0
derived_low_milestone_progress_flag,int64,0.0
target_cost_deterioration_3obs_10pct,float64,0.0
audit_negative_expenditure,int64,0.0
audit_milestone_inconsistency,int64,0.0
time_overrun_original_months,float64,54.2809
time_overrun_revised_months,float64,98.1107
additional_delay_months,float64,96.05
derived_has_time_overrun_revised_months,float64,54.2809
target_time_deterioration_3obs_3mo,float64,54.2809
schedule_model_row,bool,0.0
