model,dataset,split,rows,positive_rate,PR_AUC,ROC_AUC,precision@0.5,recall@0.5,F1@0.5,Brier,TN,FP,FN,TP,Recall@Top10%,scale_pos_weight,experiment,feature_set
Logistic Regression,cost,validation,14442,0.0347597285694502,0.0607428922806564,0.6032194035908018,0.0425048300943289,0.7450199203187251,0.0804214600580582,0.3346419521385176,5515.0,8425.0,128.0,374.0,0.2051792828685259,,,
Logistic Regression,cost,test,13939,0.0377358490566037,0.0640556602993074,0.63646017327835,0.0394381844151721,0.9448669201520912,0.0757160268129189,0.4552058938883967,1308.0,12105.0,29.0,497.0,0.2338403041825095,,,
Logistic Regression,schedule,validation,6361,0.1842477597861971,0.4747522034181018,0.8041326263157098,0.3334467505954406,0.8361774744027304,0.4767696424227682,0.2100471541962916,3230.0,1959.0,192.0,980.0,0.3293515358361775,,,
Logistic Regression,schedule,test,7968,0.2142319277108433,0.41104094553253,0.7235102189683357,0.2958152958152958,0.840656121851201,0.4376334248246417,0.2664426716731917,2845.0,3416.0,272.0,1435.0,0.2437024018746338,,,
XGBoost,cost,validation,14442,0.0347597285694502,0.0722017990251705,0.6401925297375777,0.100418410041841,0.1434262948207171,0.1181296144380639,0.0647646635770797,13295.0,645.0,430.0,72.0,0.2290836653386454,29.72684085510689,,
XGBoost,cost,test,13939,0.0377358490566037,0.0629442849627131,0.5988690246877568,0.1048387096774193,0.0988593155893536,0.1017612524461839,0.0643815174698829,12969.0,444.0,474.0,52.0,0.2053231939163498,29.72684085510689,,
XGBoost,schedule,validation,6361,0.1842477597861971,0.4895274526908286,0.7824760733686447,0.5149532710280373,0.470136518771331,0.4915254237288136,0.1307839751243591,4670.0,519.0,621.0,551.0,0.318259385665529,4.646635850025681,,
XGBoost,schedule,test,7968,0.2142319277108433,0.4195531385083696,0.7327182424895863,0.4086393088552916,0.5541886350322203,0.470412729985082,0.1832104474306106,4892.0,1369.0,761.0,946.0,0.229642647920328,4.646635850025681,,
Logistic Regression,cost,validation,14442,0.0347597285694502,0.0627432920891628,0.6206568274963274,0.0441488767184531,0.7868525896414342,0.0836067308709916,,,,,,,,E3_state_only,E3_state_only
Logistic Regression,cost,test,13939,0.0377358490566037,0.0568880719404925,0.6185777148836085,0.0381143430290872,0.9391634980988594,0.0732557277378216,,,,,,,,E3_state_only,E3_state_only
Logistic Regression,schedule,validation,6361,0.1842477597861971,0.4639985119125461,0.8017351946260698,0.3345712356515867,0.8455631399317406,0.4794388001935172,,,,,,,,E3_state_only,E3_state_only
Logistic Regression,schedule,test,7968,0.2142319277108433,0.4254741610005073,0.7378112822545383,0.2914364640883978,0.8652606912712361,0.4360147601476015,,,,,,,,E3_state_only,E3_state_only
XGBoost,cost,validation,14442,0.03475972856945021,0.07742035225434048,0.6426575620044929,0.09794437726723096,0.16135458167330677,0.12189616252821671,,,,,,,,E4_state_only,
XGBoost,cost,test,13939,0.03773584905660377,0.05447294039967751,0.5895673540708336,0.07241379310344828,0.07984790874524715,0.0759493670886076,,,,,,,,E4_state_only,
XGBoost,schedule,validation,6361,0.18424775978619715,0.470609399210465,0.7607202851661133,0.49864743011722273,0.4718430034129693,0.48487505480052606,,,,,,,,E4_state_only,
XGBoost,schedule,test,7968,0.21423192771084337,0.4328106530259199,0.738473128535722,0.4170673076923077,0.6098418277680141,0.4953604568165596,,,,,,,,E4_state_only,
