experiment,dataset,model,feature_set,split,rows,positive_rate,PR_AUC,ROC_AUC,precision@0.5,recall@0.5,F1@0.5,Recall@Top10%
E5_model_family,cost,XGBoost,cost=state+trajectory; schedule=state,validation,14442,0.03475972856945021,0.07141853778830481,0.6368707379949355,0.08895265423242468,0.12350597609561753,0.10341951626355296,0.2250996015936255
E5_model_family,cost,XGBoost,cost=state+trajectory; schedule=state,test,13939,0.03773584905660377,0.06550938540549156,0.6068420370794012,0.1070615034168565,0.08935361216730038,0.09740932642487046,0.20152091254752852
E5_model_family,cost,LightGBM,cost=state+trajectory; schedule=state,validation,14442,0.03475972856945021,0.07367552249636762,0.6198780916506141,0.11855670103092783,0.09163346613545817,0.10337078651685393,0.20717131474103587
E5_model_family,cost,LightGBM,cost=state+trajectory; schedule=state,test,13939,0.03773584905660377,0.07371448484301574,0.6247177628876587,0.11827956989247312,0.06273764258555133,0.08198757763975155,0.2414448669201521
E5_model_family,cost,CatBoost,cost=state+trajectory; schedule=state,validation,14442,0.03475972856945021,0.0600190359467809,0.5678928475481146,0.05736636245110821,0.08764940239043825,0.06934594168636722,0.16334661354581673
E5_model_family,cost,CatBoost,cost=state+trajectory; schedule=state,test,13939,0.03773584905660377,0.047110227316561136,0.5522233268388679,0.060041407867494824,0.055133079847908745,0.057482656095143705,0.12547528517110265
E5_model_family,schedule,XGBoost,cost=state+trajectory; schedule=state,validation,6361,0.18424775978619715,0.470609399210465,0.7607202851661133,0.49864743011722273,0.4718430034129693,0.48487505480052606,0.32764505119453924
E5_model_family,schedule,XGBoost,cost=state+trajectory; schedule=state,test,7968,0.21423192771084337,0.4328106530259199,0.738473128535722,0.4170673076923077,0.6098418277680141,0.4953604568165596,0.24077328646748683
E5_model_family,schedule,LightGBM,cost=state+trajectory; schedule=state,validation,6361,0.18424775978619715,0.4655820212740366,0.7480017291763819,0.47610294117647056,0.44197952218430037,0.4584070796460177,0.33276450511945393
E5_model_family,schedule,LightGBM,cost=state+trajectory; schedule=state,test,7968,0.21423192771084337,0.41920670858038855,0.7291550702047349,0.41746724890829695,0.5600468658465143,0.47835876907680763,0.22847100175746923
E5_model_family,schedule,CatBoost,cost=state+trajectory; schedule=state,validation,6361,0.18424775978619715,0.4738026764733226,0.7728130095364505,0.4781048097631012,0.568259385665529,0.519298245614035,0.3122866894197952
E5_model_family,schedule,CatBoost,cost=state+trajectory; schedule=state,test,7968,0.21423192771084337,0.4212836148135609,0.7350990551883518,0.39799211186805306,0.6502636203866432,0.49377224199288255,0.22612770943175162
