feature,importance,importance_pct
derived_months_to_anticipated_completion,0.16077884,16.07788
derived_reported_time_overrun_flag,0.07998792,7.998791
derived_months_to_original_completion,0.053060334,5.306033
derived_3obs_time_overrun_delta_mean,0.04709131,4.7091303
derived_delta_derived_milestone_progress_pct,0.04536878,4.5368776
derived_project_age_months,0.034992285,3.499228
derived_report_year,0.03462313,3.4623127
derived_milestone_progress_pct,0.033153787,3.3153782
derived_cost_escalation_flag_10pct,0.032471955,3.247195
derived_delta_anticipated_cost_crore,0.03185824,3.1858234
derived_report_month,0.029209357,2.9209354
derived_expenditure_to_original_cost_pct,0.028546156,2.8546154
derived_milestone_gap,0.0272541,2.7254097
original_cost_crore,0.02550755,2.5507548
derived_months_since_first_report,0.024437368,2.4437366
derived_3obs_expenditure_change_mean,0.024429996,2.4429994
derived_3obs_milestone_progress_delta_mean,0.024173697,2.4173696
derived_anticipated_cost_increase_pct,0.024168186,2.4168184
derived_low_milestone_progress_flag,0.024078967,2.4078965
derived_expenditure_to_anticipated_cost_pct,0.023697894,2.3697891
derived_observation_number,0.023228476,2.3228474
derived_delta_time_overrun_original_months,0.021669935,2.1669934
derived_cost_increase_crore,0.020555181,2.055518
cumulative_expenditure_crore,0.02022407,2.0224068
anticipated_cost_crore,0.018566132,1.8566129
derived_delta_cumulative_expenditure_crore,0.017148368,1.7148366
derived_project_report_gap_months,0.016637444,1.6637442
derived_delta_derived_months_to_anticipated_completion,0.014931689,1.4931688
derived_3obs_cost_change_mean,0.013695427,1.3695426
derived_has_additional_delay_months,0.012629321,1.262932
derived_expenditure_change_pct,0.009903921,0.99039197
derived_anticipated_cost_change_pct,0.0019202324,0.19202322
derived_has_anticipated_completion_date,0.0,0.0
derived_has_cumulative_expenditure_crore,0.0,0.0
derived_milestone_inconsistency,0.0,0.0
derived_has_original_completion_date,0.0,0.0
derived_has_anticipated_cost_crore,0.0,0.0
derived_has_time_overrun_original_months,0.0,0.0
