feature,mean_abs_shap,mean_abs_shap_pct
derived_months_to_anticipated_completion,0.9069118,27.355413
derived_report_year,0.6626292,19.987053
derived_report_month,0.25986832,7.8384748
derived_project_age_months,0.21641734,6.527852
derived_expenditure_to_anticipated_cost_pct,0.18349782,5.5348916
derived_milestone_progress_pct,0.15938285,4.8075056
derived_3obs_expenditure_change_mean,0.11715289,3.5337126
derived_3obs_time_overrun_delta_mean,0.1138909,3.4353206
anticipated_cost_crore,0.08710811,2.6274645
original_cost_crore,0.07492068,2.2598517
derived_expenditure_to_original_cost_pct,0.07183608,2.16681
derived_observation_number,0.071587205,2.1593032
cumulative_expenditure_crore,0.06680534,2.0150666
derived_months_to_original_completion,0.06457817,1.9478878
derived_reported_time_overrun_flag,0.05378108,1.6222125
derived_months_since_first_report,0.04311703,1.3005501
derived_anticipated_cost_increase_pct,0.030713905,0.92643136
derived_cost_increase_crore,0.025543071,0.7704622
derived_delta_derived_milestone_progress_pct,0.015890347,0.4793046
derived_milestone_gap,0.014775935,0.4456903
derived_delta_time_overrun_original_months,0.014255657,0.42999706
derived_3obs_milestone_progress_delta_mean,0.012274373,0.3702351
derived_expenditure_change_pct,0.010591484,0.31947362
derived_3obs_cost_change_mean,0.009484196,0.28607425
derived_delta_cumulative_expenditure_crore,0.007054088,0.21277428
derived_delta_derived_months_to_anticipated_completion,0.0070143496,0.21157563
derived_low_milestone_progress_flag,0.0054273535,0.16370666
derived_has_additional_delay_months,0.004887378,0.14741923
derived_project_report_gap_months,0.002786836,0.08406005
derived_delta_anticipated_cost_crore,0.00054191647,0.016345965
derived_cost_escalation_flag_10pct,0.0004458946,0.0134496335
derived_anticipated_cost_change_pct,0.000120292396,0.0036284104
derived_has_anticipated_completion_date,0.0,0.0
derived_has_cumulative_expenditure_crore,0.0,0.0
derived_milestone_inconsistency,0.0,0.0
derived_has_original_completion_date,0.0,0.0
derived_has_anticipated_cost_crore,0.0,0.0
derived_has_time_overrun_original_months,0.0,0.0
