task,prediction_date,train_rows,evaluation_rows,train_positive_rate,future_positive_rate,pr_auc,roc_auc,mean_predicted_risk,actual_positive
cost,2011-01-01,43668,557,0.03306769258953925,0.0466786355475763,0.15082950152629773,0.6966536288570186,0.3837810010659481,26
cost,2011-03-01,44771,552,0.03341448705635344,0.04528985507246377,0.4012413073118176,0.8717267552182163,0.39240239590581955,25
cost,2011-05-01,45873,559,0.03350554792579513,0.026833631484794274,0.22404585693212595,0.8580882352941176,0.35207633927751286,15
cost,2011-07-01,46988,551,0.033434068272750486,0.038112522686025406,0.19028252426916484,0.8031446540880502,0.3392755620749419,21
cost,2011-09-01,48088,561,0.033771419065047416,0.05525846702317291,0.2793588753762444,0.836457699330493,0.34832918159247617,31
cost,2011-12-01,49204,552,0.03406227136005203,0.010869565217391304,0.05958667223373107,0.873015873015873,0.34928296331805664,6
cost,2012-02-01,50307,550,0.0340111714075576,0.06,0.2741441386469757,0.8302561397338961,0.37639922745176785,33
cost,2012-04-01,51403,560,0.03462832908585102,0.019642857142857142,0.1468396245534916,0.907103825136612,0.3658818050528554,11
cost,2012-06-01,52517,552,0.03448407182436163,0.03985507246376811,0.2214297238482343,0.8250428816466552,0.3408578984097168,22
cost,2012-08-01,53615,33,0.03459852653175417,0.06060606060606061,0.26785714285714285,0.8709677419354839,0.44915384557302984,2
cost,2012-11-01,54209,29,0.03442232839565386,0.06896551724137931,0.09903381642512077,0.46296296296296297,0.46608002719874775,2
schedule,2008-06-01,20410,400,0.18363547280744733,0.075,0.16924902287634486,0.6902702702702703,0.298683762550354,30
schedule,2008-07-01,20810,368,0.18154733301297454,0.09239130434782608,0.5420276302446191,0.7721028531172948,0.2774772346019745,34
schedule,2008-08-01,21178,375,0.17999811124752102,0.06933333333333333,0.20505852851053413,0.7081772096098744,0.27349427342414856,26
schedule,2008-09-01,21553,375,0.17807265809864056,0.112,0.26060064407524897,0.7434577434577433,0.28218603134155273,42
schedule,2008-10-01,21928,383,0.17694272163444,0.29765013054830286,0.6377914270487197,0.813702471792865,0.3162713944911957,114
schedule,2008-11-01,22311,372,0.17901483573125365,0.34408602150537637,0.6767923473434825,0.8195760758196722,0.45225343108177185,128
schedule,2008-12-01,22683,372,0.1817219944451792,0.4166666666666667,0.7762294657420489,0.809588226549725,0.5129398107528687,155
schedule,2009-02-01,23055,410,0.1855129039253958,0.4585365853658537,0.7968359824325667,0.8170284646348477,0.4763827919960022,188
schedule,2009-04-01,23465,447,0.1902834008097166,0.378076062639821,0.7637588894682066,0.8293814652420075,0.44397422671318054,169
schedule,2009-05-01,23912,469,0.19379391100702575,0.27292110874200426,0.7731873015323296,0.8927556818181818,0.4780224561691284,128
schedule,2009-06-01,24381,462,0.1953160247733891,0.10606060606060606,0.48636037293082396,0.8115333300390374,0.44216325879096985,49
schedule,2009-07-01,24843,480,0.19365616068912772,0.03125,0.30761219827891867,0.8493189964157707,0.31436431407928467,15
